id,Category,neck_collar,occassion,surface_styling
51377,Women Tops & Tunics,round neck,casual,
51379,Women Tops & Tunics,round neck,casual,
51384,Women Tops & Tunics,round neck,casual,
51391,Women Tops & Tunics,stylised,casual,
51406,Women Tops & Tunics,round neck,casual,
51409,Women Tops & Tunics,high,casual,
51411,Women Tops & Tunics,round neck,casual,
51412,Women Tops & Tunics,round neck,casual,
51415,Women Tops & Tunics,round neck,casual,
51420,Women Tops & Tunics,v-neck,casual,
51423,Women Tops & Tunics,sweetheart neck,casual,
51426,Women Tops & Tunics,round neck,casual,
51438,Women Tops & Tunics,round neck,casual,
51445,Women Tops & Tunics,round neck,casual,
51449,Women Tops & Tunics,round neck,casual,
51450,Women Tops & Tunics,round neck,casual,
51452,Women Tops & Tunics,v-neck,party,
51454,Women Tops & Tunics,round neck,casual,
51460,Women Tops & Tunics,round neck,casual,
51467,Women Tops & Tunics,round neck,casual,
51481,Women Tops & Tunics,round neck,casual,
51482,Women Tops & Tunics,default,casual,
51484,Women Tops & Tunics,square neck,casual,
51490,Women Tops & Tunics,round neck,casual,
51494,Women Tops & Tunics,round neck,casual,
51496,Women Tops & Tunics,round neck,casual,
51498,Women Tops & Tunics,round neck,casual,
51503,Women Tops & Tunics,round neck,casual,
51505,Women Tops & Tunics,round neck,casual,
51507,Women Tops & Tunics,high,casual,
51508,Women Tops & Tunics,round neck,,applique
51517,Women Tops & Tunics,round neck,casual,
51523,Women Tops & Tunics,round neck,casual,
51525,Women Tops & Tunics,v-neck,casual,
51530,Women Tops & Tunics,round neck,casual,
51531,Women Tops & Tunics,round neck,casual,
51535,Women Tops & Tunics,default,casual,
51543,Women Tops & Tunics,round neck,casual,
51545,Women Tops & Tunics,round neck,casual,
51546,Women Tops & Tunics,round neck,casual,
51547,Women Tops & Tunics,stylised,casual,
51549,Women Tops & Tunics,round neck,casual,
51558,Women Tops & Tunics,round neck,casual,
51565,Women Tops & Tunics,round neck,casual,
51573,Women Tops & Tunics,sweetheart neck,casual,
51574,Women Tops & Tunics,round neck,casual,
51578,Women Tops & Tunics,round neck,casual,
51586,Women Tops & Tunics,round neck,casual,
51592,Women Tops & Tunics,round neck,casual,
51593,Women Tops & Tunics,high,casual,
51597,Women Tops & Tunics,round neck,casual,
51599,Women Tops & Tunics,round neck,casual,
51601,Women Tops & Tunics,round neck,casual,
51603,Women Tops & Tunics,default,casual,
51607,Women Tops & Tunics,round neck,casual,
51613,Women Tops & Tunics,round neck,casual,
51622,Women Tops & Tunics,high,casual,
51625,Women Tops & Tunics,round neck,casual,
51626,Women Tops & Tunics,v-neck,casual,
51627,Women Tops & Tunics,high,casual,
51629,Women Tops & Tunics,round neck,party,
51635,Women Tops & Tunics,round neck,casual,
51639,Women Tops & Tunics,round neck,casual,
51640,Women Tops & Tunics,round neck,casual,
51649,Women Tops & Tunics,round neck,casual,
51650,Women Tops & Tunics,round neck,casual,
51658,Women Tops & Tunics,round neck,casual,
51660,Women Tops & Tunics,round neck,casual,
51662,Women Tops & Tunics,round neck,casual,
51668,Women Tops & Tunics,square neck,casual,
51671,Women Tops & Tunics,round neck,casual,
51673,Women Tops & Tunics,round neck,casual,
51675,Women Tops & Tunics,default,casual,
51677,Women Tops & Tunics,high,casual,
51691,Women Tops & Tunics,default,party,
51702,Women Tops & Tunics,round neck,casual,
51707,Women Tops & Tunics,round neck,casual,
51708,Women Tops & Tunics,round neck,casual,
51713,Women Tops & Tunics,round neck,casual,
51729,Women Tops & Tunics,round neck,casual,
51730,Women Tops & Tunics,round neck,casual,
51737,Women Tops & Tunics,round neck,casual,
51741,Women Tops & Tunics,v-neck,casual,
51744,Women Tops & Tunics,square neck,casual,
51746,Women Tops & Tunics,default,casual,
51749,Women Tops & Tunics,high,casual,
51752,Women Tops & Tunics,stylised,casual,
51754,Women Tops & Tunics,round neck,casual,
51759,Women Tops & Tunics,high,casual,
51760,Women Tops & Tunics,default,casual,
51772,Women Tops & Tunics,round neck,casual,
51776,Women Tops & Tunics,high,casual,
51782,Women Tops & Tunics,default,casual,
51787,Women Tops & Tunics,round neck,casual,
51791,Women Tops & Tunics,v-neck,casual,
51798,Women Tops & Tunics,round neck,casual,
51802,Women Tops & Tunics,sweetheart neck,casual,
51806,Women Tops & Tunics,round neck,casual,
51817,Women Tops & Tunics,round neck,casual,
51819,Women Tops & Tunics,sweetheart neck,casual,
51820,Women Tops & Tunics,default,casual,
51823,Women Tops & Tunics,round neck,casual,
51828,Women Tops & Tunics,round neck,casual,
51830,Women Tops & Tunics,sweetheart neck,casual,
51832,Women Tops & Tunics,round neck,casual,
51834,Women Tops & Tunics,default,casual,
51841,Women Tops & Tunics,round neck,casual,
51850,Women Tops & Tunics,stylised,casual,
51853,Women Tops & Tunics,round neck,casual,
51855,Women Tops & Tunics,high,casual,
51859,Women Tops & Tunics,round neck,,applique
51861,Women Tops & Tunics,round neck,casual,
51862,Women Tops & Tunics,round neck,casual,
51867,Women Tops & Tunics,round neck,casual,
51869,Women Tops & Tunics,round neck,casual,
51883,Women Tops & Tunics,round neck,casual,
51887,Women Tops & Tunics,sweetheart neck,casual,
51889,Women Tops & Tunics,square neck,casual,
51890,Women Tops & Tunics,round neck,casual,
51892,Women Tops & Tunics,default,casual,
51895,Women Tops & Tunics,high,casual,
51899,Women Tops & Tunics,sweetheart neck,casual,
51902,Women Tops & Tunics,high,casual,
51903,Women Tops & Tunics,round neck,casual,
51927,Women Tops & Tunics,round neck,casual,
51929,Women Tops & Tunics,high,casual,
51930,Women Tops & Tunics,round neck,casual,
51934,Women Tops & Tunics,v-neck,casual,
51941,Women Tops & Tunics,round neck,party,
51942,Women Tops & Tunics,round neck,casual,
51943,Women Tops & Tunics,round neck,casual,
51950,Women Tops & Tunics,round neck,casual,
51952,Women Tops & Tunics,high,casual,
51956,Women Tops & Tunics,high,casual,
51958,Women Tops & Tunics,default,casual,
51963,Women Tops & Tunics,square neck,casual,
51964,Women Tops & Tunics,round neck,casual,
51965,Women Tops & Tunics,round neck,casual,
51966,Women Tops & Tunics,high,casual,
51974,Women Tops & Tunics,round neck,casual,
51976,Women Tops & Tunics,round neck,casual,
51979,Women Tops & Tunics,round neck,casual,
51981,Women Tops & Tunics,round neck,casual,
51983,Women Tops & Tunics,round neck,casual,
51987,Women Tops & Tunics,round neck,casual,
51992,Women Tops & Tunics,round neck,casual,
51996,Women Tops & Tunics,round neck,casual,
51997,Women Tops & Tunics,v-neck,casual,
51998,Women Tops & Tunics,stylised,casual,
52001,Women Tops & Tunics,round neck,casual,
52010,Women Tops & Tunics,default,casual,
52011,Women Tops & Tunics,default,casual,
52019,Women Tops & Tunics,sweetheart neck,casual,
52023,Women Tops & Tunics,sweetheart neck,casual,
52027,Women Tops & Tunics,round neck,casual,
52029,Women Tops & Tunics,round neck,casual,
52031,Women Tops & Tunics,high,casual,
52039,Women Tops & Tunics,round neck,casual,
52040,Women Tops & Tunics,round neck,casual,
52042,Women Tops & Tunics,round neck,casual,
52045,Women Tops & Tunics,default,casual,
52050,Women Tops & Tunics,round neck,casual,
52052,Women Tops & Tunics,v-neck,casual,
52059,Women Tops & Tunics,high,casual,
52067,Women Tops & Tunics,round neck,casual,
52068,Women Tops & Tunics,round neck,casual,
52076,Women Tops & Tunics,round neck,casual,
52085,Women Tops & Tunics,round neck,casual,
52105,Women Tops & Tunics,v-neck,casual,
52106,Women Tops & Tunics,round neck,casual,
52132,Women Tops & Tunics,round neck,casual,
52135,Women Tops & Tunics,round neck,casual,
52140,Women Tops & Tunics,round neck,casual,
52147,Women Tops & Tunics,default,casual,
52150,Women Tops & Tunics,round neck,casual,
52154,Women Tops & Tunics,round neck,casual,
52156,Women Tops & Tunics,high,party,
