id,Category,surface_styling
32601,Women Tshirts,
32602,Women Tshirts,
32603,Women Tshirts,
32604,Women Tshirts,
32605,Women Tshirts,
32607,Women Tshirts,
32608,Women Tshirts,
32610,Women Tshirts,
32611,Women Tshirts,
32613,Women Tshirts,
32615,Women Tshirts,
32616,Women Tshirts,
32617,Women Tshirts,
32618,Women Tshirts,
32619,Women Tshirts,
32621,Women Tshirts,
32624,Women Tshirts,
32625,Women Tshirts,
32626,Women Tshirts,
32628,Women Tshirts,
32630,Women Tshirts,
32632,Women Tshirts,
32639,Women Tshirts,
32640,Women Tshirts,
32641,Women Tshirts,
32642,Women Tshirts,
32643,Women Tshirts,
32644,Women Tshirts,
32645,Women Tshirts,
32646,Women Tshirts,
32647,Women Tshirts,
32648,Women Tshirts,
32649,Women Tshirts,
32650,Women Tshirts,
32651,Women Tshirts,
32652,Women Tshirts,
32653,Women Tshirts,
32654,Women Tshirts,
32655,Women Tshirts,
32658,Women Tshirts,
32659,Women Tshirts,
32660,Women Tshirts,
32661,Women Tshirts,
32662,Women Tshirts,
32663,Women Tshirts,
32664,Women Tshirts,
32665,Women Tshirts,
32667,Women Tshirts,
32668,Women Tshirts,
32669,Women Tshirts,
32670,Women Tshirts,
32673,Women Tshirts,
32674,Women Tshirts,
32675,Women Tshirts,
32676,Women Tshirts,
32677,Women Tshirts,
32678,Women Tshirts,
32679,Women Tshirts,
32680,Women Tshirts,
32681,Women Tshirts,
32682,Women Tshirts,
32686,Women Tshirts,
32687,Women Tshirts,
32688,Women Tshirts,
32689,Women Tshirts,
32690,Women Tshirts,
32691,Women Tshirts,
32693,Women Tshirts,
32694,Women Tshirts,
32695,Women Tshirts,
32696,Women Tshirts,
32697,Women Tshirts,
32698,Women Tshirts,
32699,Women Tshirts,
32700,Women Tshirts,
32702,Women Tshirts,
32704,Women Tshirts,
32705,Women Tshirts,
32708,Women Tshirts,
32709,Women Tshirts,
32710,Women Tshirts,
32712,Women Tshirts,
32714,Women Tshirts,
32715,Women Tshirts,
32718,Women Tshirts,
32719,Women Tshirts,
32722,Women Tshirts,
32724,Women Tshirts,
32725,Women Tshirts,
32729,Women Tshirts,
32734,Women Tshirts,
32737,Women Tshirts,
32738,Women Tshirts,
32741,Women Tshirts,
32742,Women Tshirts,
32743,Women Tshirts,
32744,Women Tshirts,
32745,Women Tshirts,
32746,Women Tshirts,
32747,Women Tshirts,
32748,Women Tshirts,
32749,Women Tshirts,
32750,Women Tshirts,
