id,Category,len,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10
0,Men Tshirts,5,multicolor,round,printed,default,long sleeves,dummy,dummy,dummy,dummy,dummy
1,Men Tshirts,5,white,round,printed,typography,long sleeves,dummy,dummy,dummy,dummy,dummy
2,Men Tshirts,5,white,round,printed,default,long sleeves,dummy,dummy,dummy,dummy,dummy
3,Men Tshirts,5,default,polo,solid,solid,short sleeves,dummy,dummy,dummy,dummy,dummy
4,Men Tshirts,5,black,round,printed,default,long sleeves,dummy,dummy,dummy,dummy,dummy
5,Men Tshirts,5,default,polo,printed,default,short sleeves,dummy,dummy,dummy,dummy,dummy
6,Men Tshirts,5,default,polo,solid,solid,short sleeves,dummy,dummy,dummy,dummy,dummy
7,Men Tshirts,5,default,round,printed,default,long sleeves,dummy,dummy,dummy,dummy,dummy
8,Men Tshirts,5,white,round,printed,default,short sleeves,dummy,dummy,dummy,dummy,dummy
9,Men Tshirts,5,white,round,printed,typography,short sleeves,dummy,dummy,dummy,dummy,dummy
10,Men Tshirts,5,default,polo,solid,solid,short sleeves,dummy,dummy,dummy,dummy,dummy
11,Men Tshirts,5,default,polo,solid,solid,short sleeves,dummy,dummy,dummy,dummy,dummy
12,Men Tshirts,5,default,polo,solid,solid,short sleeves,dummy,dummy,dummy,dummy,dummy
13,Men Tshirts,5,default,polo,solid,solid,short sleeves,dummy,dummy,dummy,dummy,dummy
14,Men Tshirts,5,black,round,printed,typography,short sleeves,dummy,dummy,dummy,dummy,dummy
15,Men Tshirts,5,default,round,solid,solid,short sleeves,dummy,dummy,dummy,dummy,dummy
16,Men Tshirts,5,black,round,solid,solid,long sleeves,dummy,dummy,dummy,dummy,dummy
17,Men Tshirts,5,white,round,printed,typography,short sleeves,dummy,dummy,dummy,dummy,dummy
18,Men Tshirts,5,white,round,printed,default,short sleeves,dummy,dummy,dummy,dummy,dummy
19,Men Tshirts,5,white,round,printed,default,short sleeves,dummy,dummy,dummy,dummy,dummy
20,Men Tshirts,5,default,polo,solid,solid,short sleeves,dummy,dummy,dummy,dummy,dummy
21,Men Tshirts,5,default,polo,solid,solid,short sleeves,dummy,dummy,dummy,dummy,dummy
22,Men Tshirts,5,default,round,printed,typography,short sleeves,dummy,dummy,dummy,dummy,dummy
23,Men Tshirts,5,default,round,printed,default,short sleeves,dummy,dummy,dummy,dummy,dummy
24,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,dummy,dummy,dummy,dummy,dummy
25,Men Tshirts,5,default,polo,printed,default,short sleeves,dummy,dummy,dummy,dummy,dummy
26,Men Tshirts,5,black,polo,solid,solid,short sleeves,dummy,dummy,dummy,dummy,dummy
27,Men Tshirts,5,default,polo,solid,solid,short sleeves,dummy,dummy,dummy,dummy,dummy
28,Men Tshirts,5,black,round,printed,default,short sleeves,dummy,dummy,dummy,dummy,dummy
29,Men Tshirts,5,white,round,printed,typography,short sleeves,dummy,dummy,dummy,dummy,dummy
30,Men Tshirts,5,default,polo,solid,solid,short sleeves,dummy,dummy,dummy,dummy,dummy
31,Men Tshirts,5,default,polo,solid,solid,short sleeves,dummy,dummy,dummy,dummy,dummy
32,Men Tshirts,5,white,round,printed,typography,short sleeves,dummy,dummy,dummy,dummy,dummy
33,Men Tshirts,5,default,round,printed,typography,short sleeves,dummy,dummy,dummy,dummy,dummy
34,Men Tshirts,5,default,polo,solid,solid,short sleeves,dummy,dummy,dummy,dummy,dummy
35,Men Tshirts,5,default,polo,printed,default,short sleeves,dummy,dummy,dummy,dummy,dummy
36,Men Tshirts,5,black,round,printed,typography,long sleeves,dummy,dummy,dummy,dummy,dummy
37,Men Tshirts,5,white,round,printed,typography,short sleeves,dummy,dummy,dummy,dummy,dummy
38,Men Tshirts,5,default,polo,solid,solid,short sleeves,dummy,dummy,dummy,dummy,dummy
39,Men Tshirts,5,multicolor,round,printed,default,short sleeves,dummy,dummy,dummy,dummy,dummy
40,Men Tshirts,5,white,round,printed,default,short sleeves,dummy,dummy,dummy,dummy,dummy
41,Men Tshirts,5,white,round,printed,default,short sleeves,dummy,dummy,dummy,dummy,dummy
42,Men Tshirts,5,black,round,printed,typography,long sleeves,dummy,dummy,dummy,dummy,dummy
43,Men Tshirts,5,default,polo,solid,solid,short sleeves,dummy,dummy,dummy,dummy,dummy
44,Men Tshirts,5,black,round,printed,default,short sleeves,dummy,dummy,dummy,dummy,dummy
45,Men Tshirts,5,white,round,printed,default,long sleeves,dummy,dummy,dummy,dummy,dummy
46,Men Tshirts,5,white,round,printed,typography,short sleeves,dummy,dummy,dummy,dummy,dummy
47,Men Tshirts,5,black,round,solid,solid,short sleeves,dummy,dummy,dummy,dummy,dummy
48,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,dummy,dummy,dummy,dummy,dummy
49,Men Tshirts,5,default,round,solid,solid,short sleeves,dummy,dummy,dummy,dummy,dummy
50,Men Tshirts,5,default,polo,solid,solid,short sleeves,dummy,dummy,dummy,dummy,dummy
51,Men Tshirts,5,white,round,printed,typography,short sleeves,dummy,dummy,dummy,dummy,dummy
52,Men Tshirts,5,multicolor,round,printed,solid,long sleeves,dummy,dummy,dummy,dummy,dummy
53,Men Tshirts,5,white,round,printed,default,short sleeves,dummy,dummy,dummy,dummy,dummy
54,Men Tshirts,5,black,round,printed,default,short sleeves,dummy,dummy,dummy,dummy,dummy
55,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,dummy,dummy,dummy,dummy,dummy
56,Men Tshirts,5,white,round,printed,default,short sleeves,dummy,dummy,dummy,dummy,dummy
57,Men Tshirts,5,default,round,printed,default,short sleeves,dummy,dummy,dummy,dummy,dummy
58,Men Tshirts,5,default,polo,solid,solid,short sleeves,dummy,dummy,dummy,dummy,dummy
59,Men Tshirts,5,white,round,printed,default,short sleeves,dummy,dummy,dummy,dummy,dummy
60,Men Tshirts,5,default,polo,solid,solid,short sleeves,dummy,dummy,dummy,dummy,dummy
61,Men Tshirts,5,white,round,printed,typography,short sleeves,dummy,dummy,dummy,dummy,dummy
