id,Category,neck_collar,occasion,surface_styling
51378,Women Tops & Tunics,stylised,casual,default
51393,Women Tops & Tunics,stylised,casual,knitted
51631,Women Tops & Tunics,stylised,casual,default
51811,Women Tops & Tunics,stylised,casual,knitted
51904,Women Tops & Tunics,stylised,casual,ruffles
52096,Women Tops & Tunics,stylised,casual,tie-ups
52647,Women Tops & Tunics,stylised,casual,knitted
52673,Women Tops & Tunics,stylised,casual,knitted
52995,Women Tops & Tunics,stylised,casual,knitted
53025,Women Tops & Tunics,stylised,casual,knitted
53288,Women Tops & Tunics,stylised,casual,knitted
53559,Women Tops & Tunics,stylised,casual,knitted
53901,Women Tops & Tunics,stylised,casual,ruffles
54179,Women Tops & Tunics,stylised,casual,tie-ups
54407,Women Tops & Tunics,stylised,casual,default
54810,Women Tops & Tunics,stylised,casual,knitted
55387,Women Tops & Tunics,stylised,casual,default
55604,Women Tops & Tunics,stylised,casual,tie-ups
55722,Women Tops & Tunics,stylised,casual,ruffles
55932,Women Tops & Tunics,stylised,casual,tie-ups
55979,Women Tops & Tunics,stylised,casual,knitted
56972,Women Tops & Tunics,stylised,casual,knitted
57173,Women Tops & Tunics,stylised,casual,knitted
57278,Women Tops & Tunics,stylised,casual,tie-ups
57632,Women Tops & Tunics,stylised,casual,default
57913,Women Tops & Tunics,stylised,casual,knitted
58405,Women Tops & Tunics,stylised,casual,ruffles
59118,Women Tops & Tunics,stylised,casual,knitted
59356,Women Tops & Tunics,stylised,casual,knitted
59530,Women Tops & Tunics,stylised,casual,knitted
59718,Women Tops & Tunics,stylised,casual,tie-ups
59726,Women Tops & Tunics,stylised,casual,default
60373,Women Tops & Tunics,stylised,casual,default
60717,Women Tops & Tunics,stylised,casual,knitted
61163,Women Tops & Tunics,stylised,casual,knitted
61250,Women Tops & Tunics,stylised,casual,knitted
61525,Women Tops & Tunics,stylised,casual,knitted
61946,Women Tops & Tunics,stylised,casual,default
62039,Women Tops & Tunics,stylised,casual,knitted
62164,Women Tops & Tunics,stylised,casual,knitted
62935,Women Tops & Tunics,stylised,casual,ruffles
62993,Women Tops & Tunics,stylised,casual,default
63222,Women Tops & Tunics,stylised,casual,tie-ups
63259,Women Tops & Tunics,stylised,casual,ruffles
63841,Women Tops & Tunics,stylised,casual,knitted
64352,Women Tops & Tunics,stylised,casual,knitted
64498,Women Tops & Tunics,stylised,casual,tie-ups
64979,Women Tops & Tunics,stylised,casual,knitted
65103,Women Tops & Tunics,stylised,casual,knitted
67106,Women Tops & Tunics,stylised,casual,tie-ups
67158,Women Tops & Tunics,stylised,casual,knitted
67360,Women Tops & Tunics,stylised,casual,default
67369,Women Tops & Tunics,stylised,casual,default
67659,Women Tops & Tunics,stylised,casual,ruffles
67669,Women Tops & Tunics,stylised,casual,tie-ups
68990,Women Tops & Tunics,stylised,casual,ruffles
69784,Women Tops & Tunics,stylised,casual,knitted
70005,Women Tops & Tunics,stylised,casual,knitted
51382,Women Tops & Tunics,sweetheart neck,casual,ruffles
51475,Women Tops & Tunics,sweetheart neck,casual,waist tie-ups
51583,Women Tops & Tunics,sweetheart neck,casual,knitted
51641,Women Tops & Tunics,sweetheart neck,casual,knitted
