id,Category,len,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,id_as_filename
25778,Kurtis,9,black,straight,knee length,daily,net,solid,solid,three-quarter sleeves,regular,,025778.png
25779,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025779.png
25780,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025780.png
25781,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025781.png
25782,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025782.png
25783,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025783.png
25784,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025784.png
25785,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025785.png
25786,Kurtis,9,maroon,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,,025786.png
25787,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025787.png
25788,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,,025788.png
25789,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,,025789.png
25790,Kurtis,9,maroon,a-line,calf length,daily,net,solid,solid,three-quarter sleeves,regular,,025790.png
25791,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,short sleeves,regular,,025791.png
25792,Kurtis,9,green,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025792.png
25793,Kurtis,9,maroon,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025793.png
25794,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025794.png
25795,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025795.png
25796,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025796.png
25797,Kurtis,9,navy blue,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,,025797.png
25798,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025798.png
25799,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025799.png
25800,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025800.png
25801,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025801.png
25802,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025802.png
25803,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025803.png
25804,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025804.png
25805,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025805.png
25806,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025806.png
25807,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025807.png
25808,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025808.png
25809,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025809.png
25810,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025810.png
25811,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025811.png
25812,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025812.png
25813,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025813.png
25814,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025814.png
25815,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025815.png
25816,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025816.png
25817,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025817.png
25818,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025818.png
25819,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,,025819.png
25820,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,,025820.png
