id,Category,occassion,ornamentation
25830,Kurtis,,default
25967,Kurtis,,default
25970,Kurtis,,default
25979,Kurtis,,default
26077,Kurtis,,default
26224,Kurtis,,net
26257,Kurtis,,default
26259,Kurtis,,default
26260,Kurtis,,default
26262,Kurtis,,default
26264,Kurtis,,default
26265,Kurtis,,default
26319,Kurtis,,net
26362,Kurtis,,net
26363,Kurtis,,net
26375,Kurtis,,net
26379,Kurtis,,net
26403,Kurtis,,default
26404,Kurtis,,default
26411,Kurtis,,default
26415,Kurtis,,default
26422,Kurtis,,default
26426,Kurtis,,default
26436,Kurtis,,default
26441,Kurtis,,net
26549,Kurtis,,net
26550,Kurtis,,net
26551,Kurtis,,net
26612,Kurtis,,net
26631,Kurtis,,net
26712,Kurtis,,default
26738,Kurtis,,default
26740,Kurtis,,default
26845,Kurtis,,net
26892,Kurtis,,net
26898,Kurtis,,net
26911,Kurtis,,net
26937,Kurtis,,net
26961,Kurtis,,default
26978,Kurtis,,default
27005,Kurtis,,default
27010,Kurtis,,default
27117,Kurtis,,net
27250,Kurtis,,net
27251,Kurtis,,net
27255,Kurtis,,net
27292,Kurtis,,net
27293,Kurtis,,net
27296,Kurtis,,default
27329,Kurtis,,default
27335,Kurtis,,default
27345,Kurtis,,net
27399,Kurtis,,net
27406,Kurtis,,default
27423,Kurtis,,default
27522,Kurtis,,net
27635,Kurtis,,default
27638,Kurtis,,default
27642,Kurtis,,default
27649,Kurtis,,default
27719,Kurtis,,default
27768,Kurtis,,default
27780,Kurtis,daily,
27782,Kurtis,daily,
27784,Kurtis,daily,
27785,Kurtis,daily,
27787,Kurtis,daily,
27789,Kurtis,daily,
27790,Kurtis,daily,
27792,Kurtis,daily,
27794,Kurtis,daily,
27795,Kurtis,daily,
27796,Kurtis,daily,
27797,Kurtis,daily,
27799,Kurtis,party,
27800,Kurtis,daily,
27801,Kurtis,daily,
27802,Kurtis,daily,
27804,Kurtis,daily,
27805,Kurtis,daily,
27806,Kurtis,daily,
27808,Kurtis,party,
27809,Kurtis,daily,
27812,Kurtis,daily,
27817,Kurtis,daily,
27818,Kurtis,daily,
27819,Kurtis,daily,
27820,Kurtis,daily,
27821,Kurtis,daily,
27826,Kurtis,daily,
27828,Kurtis,daily,
27829,Kurtis,daily,
27831,Kurtis,daily,
27832,Kurtis,party,
27834,Kurtis,daily,
27837,Kurtis,daily,
27838,Kurtis,daily,
27839,Kurtis,party,
27841,Kurtis,daily,
27842,Kurtis,daily,
27844,Kurtis,daily,
27845,Kurtis,daily,
27848,Kurtis,daily,
27849,Kurtis,daily,
27850,Kurtis,daily,
27852,Kurtis,daily,
27854,Kurtis,daily,
27856,Kurtis,daily,
27857,Kurtis,daily,
27858,Kurtis,daily,
27862,Kurtis,daily,
27863,Kurtis,party,
27864,Kurtis,daily,
27866,Kurtis,daily,
27868,Kurtis,daily,
27870,Kurtis,daily,
27872,Kurtis,daily,
27873,Kurtis,party,
27874,Kurtis,daily,
27875,Kurtis,daily,
27876,Kurtis,daily,
27878,Kurtis,daily,
27880,Kurtis,daily,
27883,Kurtis,daily,
27884,Kurtis,daily,
27887,Kurtis,daily,
27888,Kurtis,daily,
27890,Kurtis,daily,
27891,Kurtis,daily,
27893,Kurtis,daily,
27894,Kurtis,daily,
27895,Kurtis,,default
27899,Kurtis,daily,
27903,Kurtis,daily,
27904,Kurtis,daily,
27905,Kurtis,daily,
27906,Kurtis,daily,
27910,Kurtis,daily,
27911,Kurtis,daily,
27913,Kurtis,daily,
27914,Kurtis,daily,
27917,Kurtis,daily,
27919,Kurtis,daily,
27920,Kurtis,daily,
27921,Kurtis,,default
27923,Kurtis,daily,
27925,Kurtis,daily,
27928,Kurtis,daily,
27930,Kurtis,daily,
27931,Kurtis,daily,
27932,Kurtis,daily,
27934,Kurtis,daily,
27936,Kurtis,daily,
27937,Kurtis,daily,
27938,Kurtis,daily,
27939,Kurtis,daily,
27941,Kurtis,daily,
27946,Kurtis,daily,
27947,Kurtis,daily,
27948,Kurtis,daily,
27950,Kurtis,daily,
27953,Kurtis,daily,
27955,Kurtis,daily,
27958,Kurtis,daily,
27962,Kurtis,daily,
27963,Kurtis,daily,
27964,Kurtis,daily,
27965,Kurtis,daily,
27967,Kurtis,daily,
27969,Kurtis,daily,
27970,Kurtis,daily,
27974,Kurtis,daily,
27975,Kurtis,daily,
27976,Kurtis,daily,
27980,Kurtis,daily,
27981,Kurtis,daily,
27984,Kurtis,daily,
27985,Kurtis,party,
27986,Kurtis,daily,
27987,Kurtis,daily,
27988,Kurtis,daily,
27989,Kurtis,party,
27990,Kurtis,daily,
27991,Kurtis,daily,
27993,Kurtis,daily,
27994,Kurtis,daily,
27996,Kurtis,daily,
27997,Kurtis,daily,
28000,Kurtis,daily,
28002,Kurtis,daily,
28005,Kurtis,party,
28006,Kurtis,daily,
28008,Kurtis,daily,
28014,Kurtis,daily,
28016,Kurtis,daily,
28017,Kurtis,daily,
28018,Kurtis,daily,
28021,Kurtis,party,
28023,Kurtis,daily,
28026,Kurtis,daily,
28033,Kurtis,daily,
28035,Kurtis,daily,
28037,Kurtis,daily,
28038,Kurtis,daily,
28039,Kurtis,daily,
28040,Kurtis,daily,
28043,Kurtis,daily,
28048,Kurtis,daily,
28049,Kurtis,daily,
28053,Kurtis,daily,
28054,Kurtis,daily,
28055,Kurtis,daily,
28056,Kurtis,daily,
28058,Kurtis,daily,
28059,Kurtis,daily,
28060,Kurtis,daily,
28061,Kurtis,daily,
28063,Kurtis,party,
28066,Kurtis,daily,
28067,Kurtis,daily,
28070,Kurtis,daily,
28071,Kurtis,daily,
