id,Category,blouse_pattern,border,border_width,occassion,ornamentation,pallu_details,transparency
7435,Sarees,same as saree,woven design,big border,traditional,,same as saree,no
7454,Sarees,same as saree,woven design,big border,traditional,,same as saree,no
7465,Sarees,same as saree,default,small border,traditional,,same as saree,no
7468,Sarees,same as border,zari,big border,party,,zari woven,yes
7473,Sarees,same as border,zari,small border,traditional,,zari woven,no
7476,Sarees,same as saree,woven design,big border,daily,,same as saree,no
7478,Sarees,same as saree,default,small border,,default,same as saree,no
7479,Sarees,same as border,temple border,big border,party,,zari woven,no
7482,Sarees,same as border,temple border,big border,party,,zari woven,yes
7483,Sarees,same as border,woven design,small border,traditional,,same as saree,no
7485,Sarees,same as saree,woven design,big border,wedding,,same as saree,no
7490,Sarees,same as saree,woven design,big border,wedding,,same as saree,no
7498,Sarees,same as border,zari,small border,traditional,,zari woven,no
7504,Sarees,default,no border,no border,party,,zari woven,no
7505,Sarees,same as border,zari,big border,party,jacquard,,no
7509,Sarees,same as saree,temple border,big border,party,,zari woven,no
7514,Sarees,same as saree,zari,big border,traditional,,same as saree,no
7516,Sarees,same as saree,woven design,big border,wedding,,same as saree,no
7533,Sarees,same as saree,zari,big border,party,,zari woven,no
7538,Sarees,default,woven design,small border,wedding,,same as saree,no
7541,Sarees,default,woven design,big border,traditional,,zari woven,no
7543,Sarees,same as saree,zari,big border,traditional,,zari woven,no
7553,Sarees,default,no border,no border,party,,zari woven,no
7556,Sarees,,woven design,small border,wedding,default,same as saree,no
7557,Sarees,default,no border,no border,party,,zari woven,no
7568,Sarees,same as saree,zari,small border,party,,same as saree,no
7570,Sarees,same as border,temple border,big border,party,,zari woven,yes
7573,Sarees,same as border,temple border,big border,party,,zari woven,no
7574,Sarees,same as saree,zari,big border,party,,zari woven,no
7581,Sarees,same as border,no border,big border,party,tassels and latkans,,no
7591,Sarees,same as saree,woven design,big border,daily,,same as saree,no
7613,Sarees,default,woven design,big border,traditional,,same as saree,no
7616,Sarees,same as saree,temple border,big border,daily,,zari woven,no
7622,Sarees,same as saree,woven design,big border,daily,,zari woven,no
7624,Sarees,default,woven design,small border,wedding,,same as saree,no
7628,Sarees,same as border,zari,big border,party,,zari woven,no
7632,Sarees,default,woven design,big border,traditional,,zari woven,no
7651,Sarees,default,zari,small border,traditional,,zari woven,no
7662,Sarees,default,default,small border,daily,,same as saree,no
7666,Sarees,same as border,woven design,small border,traditional,,same as saree,no
7675,Sarees,same as saree,zari,big border,party,,zari woven,no
7687,Sarees,same as border,zari,big border,party,,zari woven,no
7688,Sarees,same as border,temple border,big border,daily,,zari woven,no
7689,Sarees,same as saree,woven design,small border,traditional,,same as saree,no
7695,Sarees,same as border,temple border,big border,party,,zari woven,no
7702,Sarees,same as saree,solid,small border,daily,,same as saree,no
7703,Sarees,same as border,default,big border,party,,same as saree,no
7715,Sarees,same as saree,woven design,big border,daily,,same as saree,no
7718,Sarees,same as border,zari,big border,party,,zari woven,yes
7730,Sarees,same as border,woven design,big border,daily,,same as saree,no
7731,Sarees,same as border,temple border,big border,party,,zari woven,yes
7736,Sarees,same as border,woven design,small border,party,,zari woven,no
7765,Sarees,same as saree,zari,small border,party,,same as saree,no
7771,Sarees,default,no border,no border,party,,zari woven,no
7774,Sarees,default,default,small border,party,jacquard,,no
7777,Sarees,default,default,small border,party,,same as saree,no
7779,Sarees,same as border,temple border,big border,party,,zari woven,yes
7787,Sarees,default,zari,,party,tassels and latkans,same as saree,no
7789,Sarees,,zari,big border,traditional,default,zari woven,no
7792,Sarees,same as saree,temple border,big border,party,,zari woven,yes
7793,Sarees,same as saree,woven design,big border,traditional,,same as saree,no
7802,Sarees,same as border,woven design,small border,traditional,,same as saree,no
7808,Sarees,default,woven design,small border,party,,zari woven,no
7811,Sarees,same as saree,temple border,big border,traditional,,same as saree,no
7817,Sarees,default,zari,big border,traditional,,zari woven,no
7832,Sarees,default,zari,big border,traditional,,zari woven,no
7839,Sarees,same as saree,woven design,small border,wedding,,same as saree,no
7841,Sarees,default,zari,big border,traditional,,zari woven,no
7848,Sarees,default,zari,big border,traditional,,zari woven,no
7854,Sarees,default,zari,big border,party,,zari woven,yes
7858,Sarees,same as border,temple border,big border,party,,zari woven,yes
7864,Sarees,same as border,woven design,big border,daily,,default,no
7866,Sarees,same as border,zari,big border,party,,same as saree,no
7873,Sarees,default,no border,no border,party,,same as saree,no
7905,Sarees,default,zari,big border,traditional,,zari woven,no
7940,Sarees,same as border,temple border,big border,party,,zari woven,yes
7941,Sarees,same as border,temple border,big border,party,,zari woven,yes
7947,Sarees,default,woven design,big border,wedding,,same as saree,no
7958,Sarees,same as border,zari,big border,party,,default,no
7964,Sarees,same as saree,woven design,,party,jacquard,woven design,no
7973,Sarees,same as border,woven design,big border,daily,,zari woven,no
7998,Sarees,same as border,default,big border,traditional,,zari woven,no
8011,Sarees,default,woven design,big border,wedding,,same as saree,no
