id,Category,len,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10
7,Men Tshirts,5,default,,solid,solid,long sleeves,,,,,
8,Men Tshirts,5,default,,solid,solid,long sleeves,,,,,
9,Men Tshirts,5,default,,printed,default,long sleeves,,,,,
12,Men Tshirts,5,multicolor,round,printed,,long sleeves,,,,,
13,Men Tshirts,5,multicolor,round,printed,,long sleeves,,,,,
15,Men Tshirts,5,multicolor,round,printed,,long sleeves,,,,,
16,Men Tshirts,5,multicolor,round,printed,,long sleeves,,,,,
17,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
21,Men Tshirts,5,black,,solid,solid,long sleeves,,,,,
22,Men Tshirts,5,default,,solid,default,long sleeves,,,,,
24,Men Tshirts,5,default,,solid,solid,long sleeves,,,,,
25,Men Tshirts,5,default,,solid,default,long sleeves,,,,,
26,Men Tshirts,5,default,,solid,solid,long sleeves,,,,,
27,Men Tshirts,5,default,,solid,default,long sleeves,,,,,
28,Men Tshirts,5,default,,solid,solid,long sleeves,,,,,
29,Men Tshirts,5,default,round,,default,short sleeves,,,,,
31,Men Tshirts,5,multicolor,polo,solid,solid,,,,,,
38,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
53,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
62,Men Tshirts,5,black,,solid,solid,long sleeves,,,,,
63,Men Tshirts,5,default,,solid,solid,long sleeves,,,,,
64,Men Tshirts,5,default,,solid,solid,long sleeves,,,,,
103,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
105,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
154,Men Tshirts,5,default,round,,default,short sleeves,,,,,
156,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
157,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
158,Men Tshirts,5,default,round,,default,short sleeves,,,,,
159,Men Tshirts,5,black,round,,default,short sleeves,,,,,
193,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
194,Men Tshirts,5,black,round,,default,short sleeves,,,,,
200,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
201,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
212,Men Tshirts,5,default,round,,default,short sleeves,,,,,
213,Men Tshirts,5,black,round,,default,short sleeves,,,,,
214,Men Tshirts,5,default,round,,default,short sleeves,,,,,
215,Men Tshirts,5,default,round,,default,short sleeves,,,,,
217,Men Tshirts,5,default,round,,default,short sleeves,,,,,
219,Men Tshirts,5,default,polo,,default,short sleeves,,,,,
220,Men Tshirts,5,black,round,printed,typography,,,,,,
222,Men Tshirts,5,default,round,,default,short sleeves,,,,,
223,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
225,Men Tshirts,5,default,round,,default,short sleeves,,,,,
227,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
243,Men Tshirts,5,black,round,,default,short sleeves,,,,,
264,Men Tshirts,5,black,,printed,default,short sleeves,,,,,
291,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
292,Men Tshirts,5,default,polo,,default,short sleeves,,,,,
294,Men Tshirts,5,default,polo,solid,solid,,,,,,
295,Men Tshirts,5,default,polo,,default,short sleeves,,,,,
328,Men Tshirts,5,default,round,,default,short sleeves,,,,,
359,Men Tshirts,5,black,round,,default,short sleeves,,,,,
393,Men Tshirts,5,default,,solid,solid,short sleeves,,,,,
394,Men Tshirts,5,multicolor,round,,default,long sleeves,,,,,
405,Men Tshirts,5,black,,printed,typography,long sleeves,,,,,
407,Men Tshirts,5,multicolor,round,,default,long sleeves,,,,,
409,Men Tshirts,5,multicolor,round,,default,long sleeves,,,,,
410,Men Tshirts,5,multicolor,round,,default,long sleeves,,,,,
417,Men Tshirts,5,multicolor,round,,default,long sleeves,,,,,
419,Men Tshirts,5,multicolor,round,,default,long sleeves,,,,,
455,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
457,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
460,Men Tshirts,5,default,round,,default,short sleeves,,,,,
462,Men Tshirts,5,default,round,,default,short sleeves,,,,,
463,Men Tshirts,5,default,round,,default,short sleeves,,,,,
467,Men Tshirts,5,white,round,printed,,long sleeves,,,,,
484,Men Tshirts,5,default,,printed,default,short sleeves,,,,,
485,Men Tshirts,5,white,polo,,default,short sleeves,,,,,
487,Men Tshirts,5,default,,printed,default,short sleeves,,,,,
488,Men Tshirts,5,default,,solid,solid,short sleeves,,,,,
489,Men Tshirts,5,default,round,,default,short sleeves,,,,,
513,Men Tshirts,5,black,round,,default,short sleeves,,,,,
520,Men Tshirts,5,default,,solid,default,long sleeves,,,,,
522,Men Tshirts,5,default,round,,default,short sleeves,,,,,
524,Men Tshirts,5,multicolor,round,printed,solid,,,,,,
564,Men Tshirts,5,default,polo,,default,short sleeves,,,,,
631,Men Tshirts,5,default,round,,default,long sleeves,,,,,
728,Men Tshirts,5,default,,solid,solid,long sleeves,,,,,
729,Men Tshirts,5,default,,solid,solid,long sleeves,,,,,
730,Men Tshirts,5,black,,printed,typography,long sleeves,,,,,
735,Men Tshirts,5,black,round,,default,short sleeves,,,,,
737,Men Tshirts,5,default,round,,default,short sleeves,,,,,
744,Men Tshirts,5,default,,solid,solid,long sleeves,,,,,
755,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
760,Men Tshirts,5,multicolor,polo,solid,solid,,,,,,
785,Men Tshirts,5,white,round,,default,short sleeves,,,,,
796,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
818,Men Tshirts,5,default,round,,solid,short sleeves,,,,,
819,Men Tshirts,5,default,round,,default,short sleeves,,,,,
863,Men Tshirts,5,default,,printed,default,short sleeves,,,,,
869,Men Tshirts,5,multicolor,,printed,default,long sleeves,,,,,
871,Men Tshirts,5,default,round,,default,short sleeves,,,,,
872,Men Tshirts,5,default,round,,default,short sleeves,,,,,
873,Men Tshirts,5,default,round,,default,short sleeves,,,,,
874,Men Tshirts,5,black,round,,default,short sleeves,,,,,
880,Men Tshirts,5,black,,printed,typography,short sleeves,,,,,
905,Men Tshirts,5,default,,solid,solid,long sleeves,,,,,
908,Men Tshirts,5,default,round,,solid,short sleeves,,,,,
911,Men Tshirts,5,black,,printed,default,long sleeves,,,,,
913,Men Tshirts,5,default,,printed,default,long sleeves,,,,,
921,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
922,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
928,Men Tshirts,5,default,polo,,default,short sleeves,,,,,
937,Men Tshirts,5,default,round,,default,short sleeves,,,,,
943,Men Tshirts,5,black,round,,default,short sleeves,,,,,
944,Men Tshirts,5,black,round,,default,short sleeves,,,,,
949,Men Tshirts,5,default,polo,solid,solid,,,,,,
951,Men Tshirts,5,default,polo,solid,solid,,,,,,
952,Men Tshirts,5,default,polo,solid,solid,,,,,,
954,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
957,Men Tshirts,5,default,round,,default,short sleeves,,,,,
958,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
972,Men Tshirts,5,default,polo,solid,solid,,,,,,
980,Men Tshirts,5,black,polo,solid,solid,,,,,,
986,Men Tshirts,5,black,,solid,solid,short sleeves,,,,,
989,Men Tshirts,5,,round,solid,solid,long sleeves,,,,,
990,Men Tshirts,5,black,,solid,solid,short sleeves,,,,,
1017,Men Tshirts,5,black,round,solid,,long sleeves,,,,,
1058,Men Tshirts,5,multicolor,round,printed,,long sleeves,,,,,
1059,Men Tshirts,5,multicolor,round,printed,,long sleeves,,,,,
1060,Men Tshirts,5,multicolor,round,printed,,long sleeves,,,,,
1061,Men Tshirts,5,multicolor,round,printed,,long sleeves,,,,,
1065,Men Tshirts,5,black,round,,default,short sleeves,,,,,
1074,Men Tshirts,5,multicolor,round,,default,long sleeves,,,,,
1081,Men Tshirts,5,default,round,,default,short sleeves,,,,,
1082,Men Tshirts,5,default,round,,default,short sleeves,,,,,
1083,Men Tshirts,5,default,round,,default,short sleeves,,,,,
1113,Men Tshirts,5,default,round,,default,short sleeves,,,,,
1114,Men Tshirts,5,default,round,,default,short sleeves,,,,,
1115,Men Tshirts,5,default,round,,default,short sleeves,,,,,
1117,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
1129,Men Tshirts,5,white,round,,default,short sleeves,,,,,
1130,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
1131,Men Tshirts,5,default,round,,default,short sleeves,,,,,
1132,Men Tshirts,5,default,round,,default,short sleeves,,,,,
1133,Men Tshirts,5,black,round,,default,short sleeves,,,,,
1149,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
1154,Men Tshirts,5,white,round,,typography,short sleeves,,,,,
1157,Men Tshirts,5,default,round,,default,short sleeves,,,,,
1178,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
1179,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
1182,Men Tshirts,5,multicolor,round,printed,,long sleeves,,,,,
1190,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
1191,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
1192,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
1194,Men Tshirts,5,default,,printed,default,long sleeves,,,,,
1196,Men Tshirts,5,default,,solid,solid,long sleeves,,,,,
1199,Men Tshirts,5,black,,solid,solid,long sleeves,,,,,
1213,Men Tshirts,5,default,round,,solid,short sleeves,,,,,
1270,Men Tshirts,5,black,round,solid,,long sleeves,,,,,
1273,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
1274,Men Tshirts,5,multicolor,round,printed,,long sleeves,,,,,
1275,Men Tshirts,5,multicolor,round,printed,,long sleeves,,,,,
1276,Men Tshirts,5,multicolor,round,printed,,long sleeves,,,,,
1277,Men Tshirts,5,multicolor,round,printed,,long sleeves,,,,,
1290,Men Tshirts,5,default,round,,default,short sleeves,,,,,
1291,Men Tshirts,5,black,round,,default,short sleeves,,,,,
1292,Men Tshirts,5,default,round,,default,short sleeves,,,,,
1313,Men Tshirts,5,multicolor,,printed,typography,long sleeves,,,,,
1357,Men Tshirts,5,white,round,,default,short sleeves,,,,,
1373,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
1374,Men Tshirts,5,multicolor,round,,default,short sleeves,,,,,
1410,Men Tshirts,5,default,polo,,default,short sleeves,,,,,
