id,Category,color,pattern,print_or_pattern_type
12,Men Tshirts,multicolor,printed,
13,Men Tshirts,multicolor,printed,
15,Men Tshirts,multicolor,printed,
16,Men Tshirts,multicolor,printed,
17,Men Tshirts,multicolor,,default
29,Men Tshirts,default,,default
38,Men Tshirts,multicolor,,default
53,Men Tshirts,multicolor,,default
103,Men Tshirts,multicolor,,default
105,Men Tshirts,multicolor,,default
154,Men Tshirts,default,,default
156,Men Tshirts,multicolor,,default
157,Men Tshirts,multicolor,,default
158,Men Tshirts,default,,default
159,Men Tshirts,black,,default
193,Men Tshirts,multicolor,,default
194,Men Tshirts,black,,default
200,Men Tshirts,multicolor,,default
201,Men Tshirts,multicolor,,default
212,Men Tshirts,default,,default
213,Men Tshirts,black,,default
214,Men Tshirts,default,,default
215,Men Tshirts,default,,default
217,Men Tshirts,default,,default
219,Men Tshirts,default,,default
222,Men Tshirts,default,,default
223,Men Tshirts,multicolor,,default
225,Men Tshirts,default,,default
227,Men Tshirts,multicolor,,default
243,Men Tshirts,black,,default
291,Men Tshirts,multicolor,,default
292,Men Tshirts,default,,default
295,Men Tshirts,default,,default
328,Men Tshirts,default,,default
359,Men Tshirts,black,,default
394,Men Tshirts,multicolor,,default
407,Men Tshirts,multicolor,,default
409,Men Tshirts,multicolor,,default
410,Men Tshirts,multicolor,,default
417,Men Tshirts,multicolor,,default
419,Men Tshirts,multicolor,,default
455,Men Tshirts,multicolor,,default
457,Men Tshirts,multicolor,,default
460,Men Tshirts,default,,default
462,Men Tshirts,default,,default
463,Men Tshirts,default,,default
467,Men Tshirts,white,printed,
485,Men Tshirts,white,,default
489,Men Tshirts,default,,default
513,Men Tshirts,black,,default
522,Men Tshirts,default,,default
564,Men Tshirts,default,,default
631,Men Tshirts,default,,default
735,Men Tshirts,black,,default
737,Men Tshirts,default,,default
755,Men Tshirts,multicolor,,default
785,Men Tshirts,white,,default
796,Men Tshirts,multicolor,,default
818,Men Tshirts,default,,solid
819,Men Tshirts,default,,default
871,Men Tshirts,default,,default
872,Men Tshirts,default,,default
873,Men Tshirts,default,,default
874,Men Tshirts,black,,default
908,Men Tshirts,default,,solid
921,Men Tshirts,multicolor,,default
922,Men Tshirts,multicolor,,default
928,Men Tshirts,default,,default
937,Men Tshirts,default,,default
943,Men Tshirts,black,,default
944,Men Tshirts,black,,default
954,Men Tshirts,multicolor,,default
957,Men Tshirts,default,,default
958,Men Tshirts,multicolor,,default
989,Men Tshirts,,solid,solid
1017,Men Tshirts,black,solid,
1058,Men Tshirts,multicolor,printed,
1059,Men Tshirts,multicolor,printed,
1060,Men Tshirts,multicolor,printed,
1061,Men Tshirts,multicolor,printed,
1065,Men Tshirts,black,,default
1074,Men Tshirts,multicolor,,default
1081,Men Tshirts,default,,default
1082,Men Tshirts,default,,default
1083,Men Tshirts,default,,default
1113,Men Tshirts,default,,default
1114,Men Tshirts,default,,default
1115,Men Tshirts,default,,default
1117,Men Tshirts,multicolor,,default
1129,Men Tshirts,white,,default
1130,Men Tshirts,multicolor,,default
1131,Men Tshirts,default,,default
1132,Men Tshirts,default,,default
1133,Men Tshirts,black,,default
1149,Men Tshirts,multicolor,,default
1154,Men Tshirts,white,,typography
1157,Men Tshirts,default,,default
1178,Men Tshirts,multicolor,,default
1179,Men Tshirts,multicolor,,default
1182,Men Tshirts,multicolor,printed,
1190,Men Tshirts,multicolor,,default
1191,Men Tshirts,multicolor,,default
1192,Men Tshirts,multicolor,,default
1213,Men Tshirts,default,,solid
1270,Men Tshirts,black,solid,
1273,Men Tshirts,multicolor,,default
1274,Men Tshirts,multicolor,printed,
1275,Men Tshirts,multicolor,printed,
1276,Men Tshirts,multicolor,printed,
1277,Men Tshirts,multicolor,printed,
1290,Men Tshirts,default,,default
1291,Men Tshirts,black,,default
1292,Men Tshirts,default,,default
1357,Men Tshirts,white,,default
1373,Men Tshirts,multicolor,,default
1374,Men Tshirts,multicolor,,default
1410,Men Tshirts,default,,default
1444,Men Tshirts,default,,default
1479,Men Tshirts,multicolor,,default
1488,Men Tshirts,default,,default
1491,Men Tshirts,default,,default
1492,Men Tshirts,default,,default
1549,Men Tshirts,multicolor,,default
1550,Men Tshirts,multicolor,,default
1551,Men Tshirts,default,,default
1552,Men Tshirts,multicolor,,default
1553,Men Tshirts,multicolor,,default
1554,Men Tshirts,multicolor,,default
1555,Men Tshirts,multicolor,,default
1575,Men Tshirts,multicolor,,default
1595,Men Tshirts,default,,typography
1623,Men Tshirts,multicolor,,default
1624,Men Tshirts,multicolor,,default
1625,Men Tshirts,multicolor,,default
1626,Men Tshirts,multicolor,,default
1668,Men Tshirts,default,solid,
1669,Men Tshirts,default,solid,
1793,Men Tshirts,multicolor,,default
1794,Men Tshirts,multicolor,,default
1795,Men Tshirts,default,,default
1797,Men Tshirts,default,,default
1806,Men Tshirts,multicolor,,default
1844,Men Tshirts,default,,typography
1854,Men Tshirts,white,,default
1875,Men Tshirts,default,,default
1882,Men Tshirts,default,,solid
1884,Men Tshirts,multicolor,printed,
1885,Men Tshirts,multicolor,printed,
1886,Men Tshirts,multicolor,printed,
1887,Men Tshirts,multicolor,printed,
1894,Men Tshirts,multicolor,,default
1895,Men Tshirts,black,,default
1896,Men Tshirts,black,,default
1898,Men Tshirts,black,,default
1899,Men Tshirts,multicolor,,default
1900,Men Tshirts,multicolor,,default
1901,Men Tshirts,multicolor,,default
1936,Men Tshirts,default,,default
1970,Men Tshirts,multicolor,,default
1971,Men Tshirts,default,,default
1991,Men Tshirts,black,,solid
2012,Men Tshirts,multicolor,,default
2015,Men Tshirts,multicolor,,default
2017,Men Tshirts,multicolor,,default
2018,Men Tshirts,multicolor,,default
2020,Men Tshirts,multicolor,,default
2021,Men Tshirts,multicolor,printed,
2026,Men Tshirts,multicolor,printed,
2027,Men Tshirts,multicolor,printed,
2028,Men Tshirts,multicolor,printed,
2054,Men Tshirts,multicolor,printed,
2055,Men Tshirts,multicolor,printed,
2056,Men Tshirts,multicolor,printed,
2057,Men Tshirts,multicolor,printed,
2087,Men Tshirts,white,,default
2088,Men Tshirts,black,,default
2089,Men Tshirts,white,,default
2114,Men Tshirts,white,,default
2115,Men Tshirts,default,,default
2123,Men Tshirts,default,,default
2126,Men Tshirts,multicolor,,default
2130,Men Tshirts,default,,default
2131,Men Tshirts,default,,default
2133,Men Tshirts,black,,default
2136,Men Tshirts,multicolor,,default
2149,Men Tshirts,white,,default
2152,Men Tshirts,default,,default
2153,Men Tshirts,multicolor,,default
2155,Men Tshirts,multicolor,,default
2156,Men Tshirts,multicolor,,default
2178,Men Tshirts,default,,default
2225,Men Tshirts,default,,default
2282,Men Tshirts,multicolor,,default
2283,Men Tshirts,default,,default
2286,Men Tshirts,default,,default
2307,Men Tshirts,multicolor,,default
2348,Men Tshirts,default,,default
2350,Men Tshirts,default,,default
2351,Men Tshirts,white,,default
2354,Men Tshirts,default,,default
2372,Men Tshirts,default,,default
2406,Men Tshirts,white,,default
2410,Men Tshirts,default,,default
2448,Men Tshirts,default,,default
2453,Men Tshirts,multicolor,,default
2466,Men Tshirts,white,,default
2469,Men Tshirts,multicolor,,default
2478,Men Tshirts,multicolor,,default
2498,Men Tshirts,default,,default
2501,Men Tshirts,white,,default
2502,Men Tshirts,default,,default
2516,Men Tshirts,white,,typography
2533,Men Tshirts,default,,default
2560,Men Tshirts,default,,default
2563,Men Tshirts,default,,default
2569,Men Tshirts,default,,default
2572,Men Tshirts,multicolor,,default
2583,Men Tshirts,white,,default
2587,Men Tshirts,multicolor,,default
2592,Men Tshirts,multicolor,,default
2603,Men Tshirts,multicolor,,default
2648,Men Tshirts,multicolor,,default
2653,Men Tshirts,multicolor,,default
2667,Men Tshirts,default,,default
2668,Men Tshirts,default,,default
2669,Men Tshirts,black,,default
