id,Category,fit_shape,length,sleeve_length,sleeve_styling
25837,Kurtis,,calf length,three-quarter sleeves,regular
25956,Kurtis,,calf length,sleeveless,sleeveless
25966,Kurtis,,calf length,three-quarter sleeves,regular
25968,Kurtis,,calf length,three-quarter sleeves,regular
26040,Kurtis,a-line,,three-quarter sleeves,regular
26063,Kurtis,,calf length,three-quarter sleeves,regular
26129,Kurtis,,calf length,three-quarter sleeves,regular
26213,Kurtis,,knee length,three-quarter sleeves,regular
26214,Kurtis,,calf length,three-quarter sleeves,regular
26276,Kurtis,,calf length,three-quarter sleeves,regular
26277,Kurtis,,calf length,three-quarter sleeves,regular
26359,Kurtis,,calf length,sleeveless,sleeveless
26381,Kurtis,,calf length,three-quarter sleeves,regular
26416,Kurtis,,calf length,three-quarter sleeves,regular
26420,Kurtis,,calf length,three-quarter sleeves,regular
26432,Kurtis,,calf length,three-quarter sleeves,regular
26442,Kurtis,,calf length,three-quarter sleeves,regular
26455,Kurtis,,calf length,three-quarter sleeves,regular
26460,Kurtis,,calf length,sleeveless,sleeveless
26476,Kurtis,,calf length,sleeveless,sleeveless
26482,Kurtis,,calf length,sleeveless,sleeveless
26499,Kurtis,a-line,knee length,three-quarter sleeves,
26500,Kurtis,a-line,knee length,three-quarter sleeves,
26508,Kurtis,,calf length,sleeveless,sleeveless
26516,Kurtis,,calf length,sleeveless,sleeveless
26517,Kurtis,,calf length,three-quarter sleeves,regular
26527,Kurtis,,calf length,sleeveless,sleeveless
26546,Kurtis,,calf length,sleeveless,sleeveless
26547,Kurtis,,calf length,sleeveless,sleeveless
26548,Kurtis,,calf length,sleeveless,sleeveless
26560,Kurtis,,knee length,three-quarter sleeves,regular
26568,Kurtis,,knee length,three-quarter sleeves,regular
26570,Kurtis,,calf length,sleeveless,sleeveless
26670,Kurtis,a-line,calf length,,regular
26672,Kurtis,a-line,calf length,,regular
26674,Kurtis,a-line,knee length,,regular
26683,Kurtis,a-line,,three-quarter sleeves,regular
26877,Kurtis,,calf length,three-quarter sleeves,regular
26878,Kurtis,,calf length,three-quarter sleeves,regular
26965,Kurtis,a-line,,sleeveless,regular
26973,Kurtis,,calf length,three-quarter sleeves,regular
26977,Kurtis,,calf length,three-quarter sleeves,regular
26982,Kurtis,,calf length,three-quarter sleeves,regular
27006,Kurtis,,calf length,three-quarter sleeves,regular
27008,Kurtis,,calf length,three-quarter sleeves,regular
27009,Kurtis,,calf length,three-quarter sleeves,regular
27011,Kurtis,a-line,,three-quarter sleeves,regular
27015,Kurtis,a-line,,three-quarter sleeves,regular
27021,Kurtis,,calf length,three-quarter sleeves,regular
27022,Kurtis,,calf length,three-quarter sleeves,regular
27031,Kurtis,,calf length,three-quarter sleeves,regular
27033,Kurtis,,calf length,three-quarter sleeves,regular
27034,Kurtis,,calf length,three-quarter sleeves,regular
27041,Kurtis,,calf length,three-quarter sleeves,regular
27042,Kurtis,,calf length,three-quarter sleeves,regular
27044,Kurtis,,calf length,three-quarter sleeves,regular
27045,Kurtis,,calf length,three-quarter sleeves,regular
27048,Kurtis,,calf length,sleeveless,sleeveless
27056,Kurtis,,calf length,three-quarter sleeves,regular
27059,Kurtis,,calf length,sleeveless,sleeveless
27060,Kurtis,,calf length,sleeveless,sleeveless
27071,Kurtis,,calf length,sleeveless,sleeveless
27077,Kurtis,,calf length,sleeveless,sleeveless
27078,Kurtis,,calf length,sleeveless,sleeveless
27083,Kurtis,,calf length,three-quarter sleeves,regular
27089,Kurtis,,calf length,three-quarter sleeves,regular
27090,Kurtis,,calf length,sleeveless,sleeveless
27091,Kurtis,,calf length,sleeveless,sleeveless
27093,Kurtis,,calf length,sleeveless,sleeveless
27094,Kurtis,,calf length,three-quarter sleeves,regular
27095,Kurtis,,calf length,three-quarter sleeves,regular
27120,Kurtis,,calf length,sleeveless,sleeveless
27126,Kurtis,,calf length,three-quarter sleeves,regular
