id,Category,occasion,ornamentation
25994,Kurtis,daily,default
26388,Kurtis,daily,default
26440,Kurtis,daily,default
27277,Kurtis,daily,default
27323,Kurtis,daily,default
27354,Kurtis,daily,default
27374,Kurtis,daily,default
28299,Kurtis,daily,net
27471,Kurtis,daily,net
25886,Kurtis,daily,net
25962,Kurtis,daily,net
26409,Kurtis,daily,net
26858,Kurtis,daily,net
26657,Kurtis,daily,net
27227,Kurtis,daily,net
27142,Kurtis,daily,net
26697,Kurtis,daily,net
26622,Kurtis,daily,net
26558,Kurtis,daily,net
27066,Kurtis,daily,net
26826,Kurtis,daily,net
26830,Kurtis,daily,net
27359,Kurtis,daily,net
27494,Kurtis,daily,net
27295,Kurtis,daily,net
26863,Kurtis,daily,net
27333,Kurtis,daily,net
26811,Kurtis,daily,net
26705,Kurtis,daily,net
26851,Kurtis,daily,net
25906,Kurtis,daily,net
27168,Kurtis,daily,net
26169,Kurtis,daily,net
25866,Kurtis,daily,net
26558,Kurtis,daily,net
27349,Kurtis,daily,net
27545,Kurtis,daily,net
25962,Kurtis,daily,net
27349,Kurtis,daily,net
27703,Kurtis,daily,net
26851,Kurtis,daily,net
27227,Kurtis,daily,net
27471,Kurtis,daily,net
26834,Kurtis,daily,net
27175,Kurtis,daily,net
27101,Kurtis,daily,net
27306,Kurtis,daily,net
27545,Kurtis,daily,net
26826,Kurtis,daily,net
26408,Kurtis,daily,net
26888,Kurtis,daily,net
26665,Kurtis,daily,net
26015,Kurtis,daily,net
27722,Kurtis,daily,net
26743,Kurtis,daily,net
26308,Kurtis,daily,net
27482,Kurtis,daily,net
26789,Kurtis,daily,net
27524,Kurtis,daily,net
26804,Kurtis,daily,net
27147,Kurtis,daily,net
26766,Kurtis,daily,net
27198,Kurtis,daily,net
27159,Kurtis,daily,net
26830,Kurtis,daily,net
26458,Kurtis,daily,net
26622,Kurtis,daily,net
27545,Kurtis,daily,net
26537,Kurtis,daily,net
27216,Kurtis,daily,net
26241,Kurtis,daily,net
27194,Kurtis,daily,net
26170,Kurtis,daily,net
26821,Kurtis,daily,net
26697,Kurtis,daily,net
27133,Kurtis,daily,net
27356,Kurtis,daily,net
27171,Kurtis,daily,net
27674,Kurtis,daily,net
26770,Kurtis,daily,net
27215,Kurtis,daily,net
25906,Kurtis,daily,net
27226,Kurtis,daily,net
27161,Kurtis,daily,net
26830,Kurtis,daily,net
26889,Kurtis,daily,net
26705,Kurtis,daily,net
26772,Kurtis,daily,net
27750,Kurtis,daily,net
27650,Kurtis,daily,net
26709,Kurtis,daily,net
27147,Kurtis,daily,net
26700,Kurtis,daily,net
27299,Kurtis,daily,net
27066,Kurtis,daily,net
26700,Kurtis,daily,net
27203,Kurtis,daily,net
27003,Kurtis,daily,net
26889,Kurtis,daily,net
26925,Kurtis,daily,net
27653,Kurtis,daily,net
26799,Kurtis,daily,net
26099,Kurtis,daily,net
27039,Kurtis,daily,net
26665,Kurtis,daily,net
26644,Kurtis,daily,net
27640,Kurtis,daily,net
27442,Kurtis,daily,net
26769,Kurtis,daily,net
27388,Kurtis,daily,net
25892,Kurtis,daily,net
26015,Kurtis,daily,net
27197,Kurtis,daily,net
27528,Kurtis,daily,net
26700,Kurtis,daily,net
27215,Kurtis,daily,net
26767,Kurtis,daily,net
26851,Kurtis,daily,net
27765,Kurtis,daily,net
27765,Kurtis,daily,net
25925,Kurtis,daily,net
26537,Kurtis,daily,net
26890,Kurtis,daily,net
27524,Kurtis,daily,net
26882,Kurtis,daily,net
26772,Kurtis,daily,net
27171,Kurtis,daily,net
27382,Kurtis,daily,net
26772,Kurtis,daily,net
26945,Kurtis,daily,net
26837,Kurtis,daily,net
27387,Kurtis,daily,net
27175,Kurtis,daily,net
26790,Kurtis,daily,net
27195,Kurtis,daily,net
25842,Kurtis,daily,net
27066,Kurtis,daily,net
26865,Kurtis,daily,net
27179,Kurtis,daily,net
27709,Kurtis,daily,net
27359,Kurtis,daily,net
27533,Kurtis,daily,net
27438,Kurtis,daily,net
27718,Kurtis,daily,net
26964,Kurtis,daily,net
27308,Kurtis,daily,net
26834,Kurtis,daily,net
27388,Kurtis,daily,net
27359,Kurtis,daily,net
26799,Kurtis,daily,net
26890,Kurtis,daily,net
27653,Kurtis,daily,net
27232,Kurtis,daily,net
26235,Kurtis,daily,net
27482,Kurtis,daily,net
26858,Kurtis,daily,net
26695,Kurtis,daily,net
27168,Kurtis,daily,net
27299,Kurtis,daily,net
27123,Kurtis,daily,net
27653,Kurtis,daily,net
27482,Kurtis,daily,net
25866,Kurtis,daily,net
27494,Kurtis,daily,net
26665,Kurtis,daily,net
26788,Kurtis,daily,net
27273,Kurtis,daily,net
26821,Kurtis,daily,net
26241,Kurtis,daily,net
26233,Kurtis,daily,net
27718,Kurtis,daily,net
26240,Kurtis,daily,net
27194,Kurtis,daily,net
26754,Kurtis,daily,net
26879,Kurtis,daily,net
25959,Kurtis,daily,net
26409,Kurtis,daily,net
26752,Kurtis,daily,net
26308,Kurtis,daily,net
26766,Kurtis,daily,net
26932,Kurtis,daily,net
26921,Kurtis,daily,net
26239,Kurtis,daily,net
27709,Kurtis,daily,net
27674,Kurtis,daily,net
27524,Kurtis,daily,net
27755,Kurtis,daily,net
27703,Kurtis,daily,net
27306,Kurtis,daily,net
26243,Kurtis,daily,net
27232,Kurtis,daily,net
26785,Kurtis,daily,net
26889,Kurtis,daily,net
27533,Kurtis,daily,net
26787,Kurtis,daily,net
27172,Kurtis,daily,net
26834,Kurtis,daily,net
