id,Category,blouse_pattern,border,border_width,occasion,ornamentation,pallu_details,transparency
7561,Sarees,same as saree,no border,no border,party,default,same as saree,no
7920,Sarees,same as saree,zari,no border,daily,default,zari woven,no
8054,Sarees,solid,no border,no border,party,jacquard,zari woven,no
8199,Sarees,default,woven design,no border,traditional,tassels and latkans,same as saree,no
9387,Sarees,same as border,no border,no border,traditional,jacquard,woven design,no
9941,Sarees,same as saree,zari,no border,party,default,zari woven,no
9971,Sarees,default,default,no border,party,default,same as saree,no
10381,Sarees,default,no border,no border,party,jacquard,same as saree,no
10525,Sarees,default,no border,no border,party,jacquard,same as saree,no
10575,Sarees,default,no border,no border,traditional,jacquard,zari woven,no
11171,Sarees,same as saree,woven design,no border,daily,tassels and latkans,same as saree,no
11688,Sarees,default,no border,no border,party,jacquard,same as saree,no
12000,Sarees,default,no border,no border,party,jacquard,same as saree,no
12549,Sarees,default,no border,no border,party,jacquard,same as saree,no
12832,Sarees,default,no border,no border,party,jacquard,same as saree,no
13113,Sarees,default,no border,no border,traditional,jacquard,zari woven,no
13140,Sarees,solid,zari,no border,party,tassels and latkans,default,no
14196,Sarees,default,no border,no border,party,jacquard,same as saree,no
7550,Sarees,same as border,default,small border,party,default,same as saree,no
7737,Sarees,default,zari,small border,traditional,jacquard,default,no
7870,Sarees,same as border,zari,small border,traditional,default,default,no
8054,Sarees,solid,no border,no border,party,jacquard,zari woven,no
8164,Sarees,same as border,default,small border,party,default,same as saree,no
8199,Sarees,default,woven design,no border,traditional,tassels and latkans,same as saree,no
8237,Sarees,same as border,default,small border,party,default,same as saree,no
8810,Sarees,same as saree,woven design,small border,traditional,default,same as saree,no
9377,Sarees,same as border,zari,small border,traditional,default,zari woven,no
9910,Sarees,default,zari,big border,traditional,jacquard,default,no
10305,Sarees,same as border,zari,big border,traditional,jacquard,zari woven,no
10391,Sarees,same as saree,temple border,small border,party,default,default,no
10738,Sarees,same as border,default,small border,party,default,same as saree,no
11025,Sarees,same as saree,default,small border,party,default,same as saree,no
11544,Sarees,default,zari,big border,traditional,jacquard,zari woven,no
11563,Sarees,same as saree,zari,big border,party,tassels and latkans,same as saree,no
11716,Sarees,same as border,default,small border,party,default,same as saree,no
11866,Sarees,same as border,default,small border,party,default,same as saree,no
12043,Sarees,same as saree,zari,big border,daily,tassels and latkans,default,no
12424,Sarees,same as saree,zari,big border,daily,tassels and latkans,same as saree,no
12712,Sarees,default,no border,small border,party,tassels and latkans,same as saree,no
13343,Sarees,default,woven design,big border,traditional,jacquard,zari woven,no
13362,Sarees,same as border,zari,big border,traditional,jacquard,zari woven,no
13387,Sarees,same as saree,zari,big border,party,tassels and latkans,default,no
13417,Sarees,same as border,default,small border,party,default,same as saree,no
13756,Sarees,default,zari,big border,traditional,jacquard,default,no
13757,Sarees,solid,default,small border,party,default,same as saree,no
14163,Sarees,same as border,default,small border,party,default,same as saree,no
14990,Sarees,same as border,default,small border,party,default,same as saree,no
15322,Sarees,default,zari,big border,party,jacquard,same as saree,no
15465,Sarees,default,zari,small border,party,default,default,no
15614,Sarees,solid,zari,small border,party,default,default,no
15995,Sarees,same as border,default,small border,party,default,same as saree,no
16220,Sarees,same as border,default,small border,party,default,same as saree,no
16618,Sarees,solid,woven design,big border,daily,jacquard,zari woven,no
16723,Sarees,solid,no border,no border,party,jacquard,zari woven,no
16762,Sarees,same as saree,zari,big border,party,tassels and latkans,same as saree,no
16890,Sarees,same as border,zari,big border,party,tassels and latkans,zari woven,no
17152,Sarees,same as border,zari,big border,traditional,tassels and latkans,zari woven,no
17205,Sarees,same as border,zari,big border,traditional,jacquard,default,no
17638,Sarees,same as border,default,small border,party,default,same as saree,no
18131,Sarees,same as saree,woven design,small border,daily,default,same as saree,no
18150,Sarees,same as border,zari,big border,party,tassels and latkans,same as saree,no
18642,Sarees,same as saree,woven design,big border,daily,default,same as saree,no
19013,Sarees,same as saree,woven design,big border,party,default,same as saree,no
19407,Sarees,same as saree,woven design,small border,daily,default,same as saree,no
19480,Sarees,default,woven design,big border,traditional,jacquard,zari woven,no
20396,Sarees,default,zari,big border,wedding,jacquard,zari woven,no
20414,Sarees,default,zari,big border,traditional,jacquard,zari woven,no
21192,Sarees,same as border,zari,no border,party,default,default,no
21591,Sarees,same as border,zari,small border,party,tassels and latkans,default,no
22580,Sarees,default,zari,big border,traditional,jacquard,default,no
23068,Sarees,same as border,zari,small border,party,default,zari woven,no
23301,Sarees,same as border,default,small border,party,default,same as saree,no
23773,Sarees,default,zari,big border,traditional,jacquard,default,no
24326,Sarees,same as saree,woven design,small border,daily,default,same as saree,no
24849,Sarees,same as border,default,small border,party,default,same as saree,no
24955,Sarees,same as border,zari,big border,party,tassels and latkans,default,no
25300,Sarees,solid,zari,big border,traditional,tassels and latkans,same as saree,no
25577,Sarees,same as saree,woven design,big border,party,default,same as saree,no
15131,Sarees,solid,zari,no border,daily,default,zari woven,no
16236,Sarees,same as saree,zari,no border,daily,tassels and latkans,default,no
16723,Sarees,solid,no border,no border,party,jacquard,zari woven,no
18497,Sarees,same as saree,woven design,no border,party,jacquard,zari woven,no
19543,Sarees,default,no border,no border,party,jacquard,same as saree,no
19815,Sarees,same as saree,zari,no border,wedding,default,zari woven,no
20940,Sarees,default,woven design,no border,party,default,same as saree,no
7486,Sarees,same as saree,temple border,big border,daily,jacquard,zari woven,yes
7550,Sarees,same as border,default,small border,party,default,same as saree,no
7737,Sarees,default,zari,small border,traditional,jacquard,default,no
7764,Sarees,same as border,temple border,big border,party,jacquard,zari woven,yes
7767,Sarees,same as border,woven design,big border,traditional,default,zari woven,no
7870,Sarees,same as border,zari,small border,traditional,default,default,no
7969,Sarees,same as border,zari,big border,daily,jacquard,zari woven,yes
8049,Sarees,same as saree,woven design,small border,traditional,default,same as saree,no
8054,Sarees,solid,no border,no border,party,jacquard,zari woven,no
8090,Sarees,default,zari,big border,traditional,jacquard,default,no
8164,Sarees,same as border,default,small border,party,default,same as saree,no
8199,Sarees,default,woven design,no border,traditional,tassels and latkans,same as saree,no
8237,Sarees,same as border,default,small border,party,default,same as saree,no
8339,Sarees,same as border,temple border,big border,party,jacquard,zari woven,yes
8427,Sarees,same as border,zari,big border,daily,jacquard,zari woven,yes
8614,Sarees,same as saree,temple border,big border,party,jacquard,zari woven,yes
8750,Sarees,same as saree,zari,big border,party,tassels and latkans,same as saree,no
8810,Sarees,same as saree,woven design,small border,traditional,default,same as saree,no
8850,Sarees,same as border,zari,big border,party,jacquard,zari woven,yes
8851,Sarees,same as border,temple border,big border,party,jacquard,zari woven,yes
8887,Sarees,same as border,temple border,big border,party,jacquard,zari woven,no
8894,Sarees,same as saree,temple border,big border,daily,jacquard,zari woven,no
8986,Sarees,same as saree,zari,big border,daily,tassels and latkans,same as saree,no
9156,Sarees,same as border,temple border,big border,party,jacquard,zari woven,yes
9267,Sarees,same as border,default,small border,party,default,same as saree,no
9377,Sarees,same as border,zari,small border,traditional,default,zari woven,no
9436,Sarees,same as border,zari,small border,party,jacquard,zari woven,yes
9517,Sarees,same as border,zari,big border,party,tassels and latkans,zari woven,no
9691,Sarees,default,zari,small border,traditional,jacquard,default,no
9747,Sarees,same as border,zari,big border,party,tassels and latkans,zari woven,no
9759,Sarees,same as border,temple border,big border,party,jacquard,zari woven,yes
9850,Sarees,default,zari,big border,traditional,jacquard,same as saree,no
9910,Sarees,default,zari,big border,traditional,jacquard,default,no
9962,Sarees,same as border,default,small border,party,default,same as saree,no
9978,Sarees,default,zari,big border,traditional,jacquard,same as saree,no
9991,Sarees,same as border,zari,small border,traditional,tassels and latkans,same as saree,no
10194,Sarees,default,zari,big border,party,jacquard,woven design,no
10209,Sarees,same as saree,woven design,small border,party,default,default,no
10305,Sarees,same as border,zari,big border,traditional,jacquard,zari woven,no
10391,Sarees,same as saree,temple border,small border,party,default,default,no
10471,Sarees,same as saree,temple border,big border,daily,jacquard,zari woven,yes
10575,Sarees,default,no border,no border,traditional,jacquard,zari woven,no
10738,Sarees,same as border,default,small border,party,default,same as saree,no
10856,Sarees,same as border,temple border,big border,party,jacquard,zari woven,yes
10996,Sarees,same as border,temple border,big border,party,jacquard,zari woven,no
11025,Sarees,same as saree,default,small border,party,default,same as saree,no
11127,Sarees,same as border,temple border,big border,party,jacquard,zari woven,yes
11178,Sarees,same as border,zari,small border,party,tassels and latkans,default,no
11228,Sarees,same as saree,temple border,big border,daily,jacquard,zari woven,yes
11411,Sarees,default,zari,big border,party,jacquard,same as saree,no
11470,Sarees,same as border,zari,big border,traditional,tassels and latkans,zari woven,no
11544,Sarees,default,zari,big border,traditional,jacquard,zari woven,no
11550,Sarees,same as border,temple border,big border,party,jacquard,zari woven,no
11563,Sarees,same as saree,zari,big border,party,tassels and latkans,same as saree,no
11716,Sarees,same as border,default,small border,party,default,same as saree,no
11866,Sarees,same as border,default,small border,party,default,same as saree,no
12043,Sarees,same as saree,zari,big border,daily,tassels and latkans,default,no
12100,Sarees,same as saree,zari,big border,daily,tassels and latkans,zari woven,no
12125,Sarees,solid,default,small border,party,default,same as saree,no
12250,Sarees,solid,zari,big border,traditional,jacquard,zari woven,no
12409,Sarees,same as border,zari,small border,daily,jacquard,zari woven,yes
12424,Sarees,same as saree,zari,big border,daily,tassels and latkans,same as saree,no
12530,Sarees,default,woven design,big border,traditional,jacquard,default,no
12712,Sarees,default,no border,small border,party,tassels and latkans,same as saree,no
12872,Sarees,same as border,temple border,big border,party,jacquard,zari woven,yes
13022,Sarees,same as border,temple border,big border,party,jacquard,zari woven,no
13141,Sarees,same as border,default,small border,party,default,same as saree,no
13299,Sarees,same as saree,temple border,big border,daily,jacquard,zari woven,yes
13343,Sarees,default,woven design,big border,traditional,jacquard,zari woven,no
13362,Sarees,same as border,zari,big border,traditional,jacquard,zari woven,no
13387,Sarees,same as saree,zari,big border,party,tassels and latkans,default,no
13417,Sarees,same as border,default,small border,party,default,same as saree,no
13503,Sarees,default,zari,big border,traditional,jacquard,default,no
13568,Sarees,default,woven design,big border,traditional,jacquard,same as saree,no
13756,Sarees,default,zari,big border,traditional,jacquard,default,no
13757,Sarees,solid,default,small border,party,default,same as saree,no
13969,Sarees,same as border,temple border,big border,party,jacquard,zari woven,yes
14101,Sarees,same as border,temple border,big border,party,jacquard,zari woven,yes
14163,Sarees,same as border,default,small border,party,default,same as saree,no
14165,Sarees,same as border,default,small border,party,tassels and latkans,same as saree,no
14311,Sarees,default,zari,big border,party,jacquard,default,no
14337,Sarees,same as saree,zari,big border,daily,tassels and latkans,zari woven,no
14342,Sarees,same as border,temple border,big border,party,jacquard,zari woven,yes
14345,Sarees,default,zari,big border,traditional,jacquard,same as saree,no
14422,Sarees,same as saree,zari,big border,daily,tassels and latkans,default,no
14446,Sarees,same as border,zari,small border,party,jacquard,same as saree,no
14451,Sarees,same as saree,zari,big border,party,tassels and latkans,same as saree,no
14530,Sarees,same as border,temple border,big border,party,jacquard,zari woven,yes
14822,Sarees,default,zari,big border,traditional,jacquard,default,no
14954,Sarees,same as border,zari,big border,party,tassels and latkans,same as saree,no
14990,Sarees,same as border,default,small border,party,default,same as saree,no
15040,Sarees,solid,zari,big border,traditional,jacquard,same as saree,no
15092,Sarees,same as saree,temple border,big border,daily,jacquard,zari woven,no
