id,Category,len,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10
27471,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25886,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25962,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
26409,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
26858,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
26657,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
27227,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
27142,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
26697,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
26622,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
26558,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
27066,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
26826,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
26830,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
27359,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
27494,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
27295,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
26863,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
27333,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
26811,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
26705,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
26851,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25906,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
27168,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
26169,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25866,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
26558,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
27349,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
27545,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25962,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
27349,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
27703,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
26851,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
