id,Category,len,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10
3903,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
3606,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
767,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1752,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
602,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
780,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
2207,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1098,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
437,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
651,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1947,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1754,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
3884,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1271,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
3687,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1230,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
4455,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
2340,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
3736,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
5135,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
3725,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
2490,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
3833,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
3820,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
5285,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
3607,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
3289,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
964,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
2836,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
3797,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
2216,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
338,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
2112,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1591,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
3186,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1613,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1343,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
3932,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1569,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
2256,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
3815,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
2274,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1717,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
459,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
4122,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
5130,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
3410,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
2211,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
2510,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1931,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
3591,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
3049,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
2127,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
2506,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
2581,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
2245,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
3758,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
2171,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
1267,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
