id,Category,len,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10
25994,Kurtis,9,grey,a-line,calf length,daily,default,default,default,three-quarter sleeves,regular,
26388,Kurtis,9,grey,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
26440,Kurtis,9,grey,a-line,calf length,daily,default,solid,solid,three-quarter sleeves,regular,
27277,Kurtis,9,grey,a-line,calf length,daily,default,solid,solid,three-quarter sleeves,regular,
27323,Kurtis,9,grey,a-line,knee length,daily,default,default,default,three-quarter sleeves,regular,
27354,Kurtis,9,grey,a-line,calf length,daily,default,default,default,three-quarter sleeves,regular,
27374,Kurtis,9,grey,straight,calf length,daily,default,default,default,three-quarter sleeves,regular,
28299,Kurtis,9,grey,a-line,calf length,daily,net,solid,solid,three-quarter sleeves,regular,
7561,Sarees,10,same as saree,no border,no border,multicolor,party,default,same as saree,default,floral,no
7920,Sarees,10,same as saree,zari,no border,white,daily,default,zari woven,zari woven,default,no
8054,Sarees,10,solid,no border,no border,green,party,jacquard,zari woven,zari woven,botanical,no
8199,Sarees,10,default,woven design,no border,green,traditional,tassels and latkans,same as saree,printed,peacock,no
9387,Sarees,10,same as border,no border,no border,multicolor,traditional,jacquard,woven design,zari woven,default,no
9941,Sarees,10,same as saree,zari,no border,white,party,default,zari woven,zari woven,default,no
9971,Sarees,10,default,default,no border,multicolor,party,default,same as saree,default,default,no
10381,Sarees,10,default,no border,no border,default,party,jacquard,same as saree,zari woven,default,no
10525,Sarees,10,default,no border,no border,default,party,jacquard,same as saree,zari woven,default,no
10575,Sarees,10,default,no border,no border,navy blue,traditional,jacquard,zari woven,zari woven,peacock,no
11171,Sarees,10,same as saree,woven design,no border,multicolor,daily,tassels and latkans,same as saree,woven design,default,no
11688,Sarees,10,default,no border,no border,default,party,jacquard,same as saree,zari woven,default,no
12000,Sarees,10,default,no border,no border,default,party,jacquard,same as saree,zari woven,default,no
12549,Sarees,10,default,no border,no border,default,party,jacquard,same as saree,zari woven,default,no
12832,Sarees,10,default,no border,no border,default,party,jacquard,same as saree,zari woven,default,no
13113,Sarees,10,default,no border,no border,default,traditional,jacquard,zari woven,zari woven,floral,no
51378,Women Tops & Tunics,10,default,fitted,crop,stylised,casual,solid,solid,short sleeves,regular sleeves,default
51393,Women Tops & Tunics,10,red,fitted,crop,stylised,casual,solid,solid,short sleeves,regular sleeves,knitted
51631,Women Tops & Tunics,10,blue,fitted,regular,stylised,casual,solid,solid,short sleeves,regular sleeves,default
51811,Women Tops & Tunics,10,green,fitted,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,knitted
51904,Women Tops & Tunics,10,navy blue,regular,regular,stylised,casual,solid,solid,short sleeves,default,ruffles
52096,Women Tops & Tunics,10,green,fitted,crop,stylised,casual,solid,solid,short sleeves,regular sleeves,tie-ups
52647,Women Tops & Tunics,10,pink,fitted,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,knitted
52673,Women Tops & Tunics,10,blue,regular,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,knitted
52995,Women Tops & Tunics,10,red,fitted,crop,stylised,casual,solid,solid,short sleeves,regular sleeves,knitted
53025,Women Tops & Tunics,10,green,regular,crop,stylised,casual,solid,solid,short sleeves,regular sleeves,knitted
53288,Women Tops & Tunics,10,blue,fitted,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,knitted
53559,Women Tops & Tunics,10,red,fitted,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,knitted
53901,Women Tops & Tunics,10,pink,fitted,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,ruffles
54179,Women Tops & Tunics,10,green,regular,regular,stylised,casual,solid,solid,short sleeves,regular sleeves,tie-ups
54407,Women Tops & Tunics,10,white,fitted,regular,stylised,casual,solid,solid,short sleeves,regular sleeves,default
54810,Women Tops & Tunics,10,pink,regular,regular,stylised,casual,printed,floral,short sleeves,puff sleeves,knitted
55387,Women Tops & Tunics,10,white,regular,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,default
55604,Women Tops & Tunics,10,black,regular,crop,stylised,casual,solid,solid,long sleeves,regular sleeves,tie-ups
55722,Women Tops & Tunics,10,pink,regular,regular,stylised,casual,solid,solid,short sleeves,default,ruffles
55932,Women Tops & Tunics,10,black,regular,crop,stylised,casual,default,solid,long sleeves,regular sleeves,tie-ups
55979,Women Tops & Tunics,10,pink,fitted,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,knitted
56972,Women Tops & Tunics,10,yellow,fitted,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,knitted
57173,Women Tops & Tunics,10,maroon,fitted,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,knitted
57278,Women Tops & Tunics,10,black,regular,crop,stylised,casual,solid,solid,long sleeves,regular sleeves,tie-ups
57632,Women Tops & Tunics,10,default,regular,crop,stylised,casual,solid,solid,short sleeves,regular sleeves,default
57913,Women Tops & Tunics,10,yellow,fitted,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,knitted
58405,Women Tops & Tunics,10,pink,fitted,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,ruffles
59118,Women Tops & Tunics,10,default,fitted,crop,stylised,casual,solid,solid,short sleeves,regular sleeves,knitted
59356,Women Tops & Tunics,10,white,regular,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,knitted
59530,Women Tops & Tunics,10,black,fitted,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,knitted
59718,Women Tops & Tunics,10,green,fitted,regular,stylised,casual,solid,solid,short sleeves,sleeveless,tie-ups
59726,Women Tops & Tunics,10,default,regular,regular,stylised,casual,solid,solid,short sleeves,regular sleeves,default
60373,Women Tops & Tunics,10,white,fitted,crop,stylised,casual,solid,solid,short sleeves,regular sleeves,default
60717,Women Tops & Tunics,10,default,regular,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,knitted
61163,Women Tops & Tunics,10,default,regular,regular,stylised,casual,solid,solid,short sleeves,sleeveless,knitted
61250,Women Tops & Tunics,10,maroon,regular,crop,stylised,casual,solid,solid,short sleeves,regular sleeves,knitted
61525,Women Tops & Tunics,10,white,fitted,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,knitted
61946,Women Tops & Tunics,10,navy blue,regular,crop,stylised,casual,solid,solid,short sleeves,regular sleeves,default
62039,Women Tops & Tunics,10,white,fitted,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,knitted
62164,Women Tops & Tunics,10,maroon,fitted,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,knitted
62935,Women Tops & Tunics,10,red,regular,regular,stylised,casual,solid,solid,short sleeves,default,ruffles
62993,Women Tops & Tunics,10,blue,regular,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,default
63222,Women Tops & Tunics,10,white,regular,regular,stylised,casual,solid,solid,three-quarter sleeves,regular sleeves,tie-ups
63259,Women Tops & Tunics,10,blue,fitted,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,ruffles
63841,Women Tops & Tunics,10,black,fitted,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,knitted
64352,Women Tops & Tunics,10,yellow,fitted,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,knitted
64498,Women Tops & Tunics,10,default,fitted,regular,stylised,casual,solid,solid,short sleeves,regular sleeves,tie-ups
64979,Women Tops & Tunics,10,maroon,fitted,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,knitted
65103,Women Tops & Tunics,10,maroon,fitted,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,knitted
67106,Women Tops & Tunics,10,maroon,regular,regular,stylised,casual,solid,solid,short sleeves,regular sleeves,tie-ups
67158,Women Tops & Tunics,10,blue,regular,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,knitted
67360,Women Tops & Tunics,10,default,regular,regular,stylised,casual,solid,solid,short sleeves,regular sleeves,default
67369,Women Tops & Tunics,10,default,regular,crop,stylised,casual,solid,solid,short sleeves,regular sleeves,default
67659,Women Tops & Tunics,10,blue,fitted,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,ruffles
67669,Women Tops & Tunics,10,default,regular,crop,stylised,casual,default,solid,long sleeves,regular sleeves,tie-ups
68990,Women Tops & Tunics,10,white,regular,regular,stylised,casual,solid,solid,short sleeves,default,ruffles
69784,Women Tops & Tunics,10,navy blue,fitted,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,knitted
70005,Women Tops & Tunics,10,black,fitted,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,knitted
13140,Sarees,10,solid,zari,no border,multicolor,party,tassels and latkans,default,default,default,no
14196,Sarees,10,default,no border,no border,default,party,jacquard,same as saree,zari woven,default,no
7550,Sarees,10,same as border,default,small border,green,party,default,same as saree,printed,peacock,no
7737,Sarees,10,default,zari,small border,green,traditional,jacquard,default,zari woven,ethnic motif,no
7870,Sarees,10,same as border,zari,small border,green,traditional,default,default,woven design,default,no
8054,Sarees,10,solid,no border,no border,green,party,jacquard,zari woven,zari woven,botanical,no
8164,Sarees,10,same as border,default,small border,green,party,default,same as saree,printed,peacock,no
8199,Sarees,10,default,woven design,no border,green,traditional,tassels and latkans,same as saree,printed,peacock,no
8237,Sarees,10,same as border,default,small border,green,party,default,same as saree,printed,peacock,no
8810,Sarees,10,same as saree,woven design,small border,green,traditional,default,same as saree,zari woven,solid,no
9377,Sarees,10,same as border,zari,small border,green,traditional,default,zari woven,zari woven,ethnic motif,no
9910,Sarees,10,default,zari,big border,green,traditional,jacquard,default,zari woven,ethnic motif,no
