id,Category,len,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10
48842,Women Tshirts,8,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,,
48910,Women Tshirts,8,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,,
48919,Women Tshirts,8,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,,
51265,Women Tshirts,8,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,,
50310,Women Tshirts,8,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,,
51185,Women Tshirts,8,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,,
49502,Women Tshirts,8,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,,
49293,Women Tshirts,8,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,,
50522,Women Tshirts,8,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,,
49534,Women Tshirts,8,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,,
48921,Women Tshirts,8,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,,
49012,Women Tshirts,8,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,,
50601,Women Tshirts,8,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,,
49834,Women Tshirts,8,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,,
49775,Women Tshirts,8,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,,
49994,Women Tshirts,8,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,,
44525,Women Tshirts,8,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,,
50354,Women Tshirts,8,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,,
49469,Women Tshirts,8,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,,
49996,Women Tshirts,8,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,,
50077,Women Tshirts,8,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,,
48871,Women Tshirts,8,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,,
