id,Category,len,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10
32601,Women Tshirts,8,multicolor,loose,long,default,default,short sleeves,regular sleeves,,,
32602,Women Tshirts,8,yellow,loose,long,default,default,short sleeves,regular sleeves,,,
32603,Women Tshirts,8,multicolor,,,,,,,,,
32604,Women Tshirts,8,multicolor,,,,,,,,,
32605,Women Tshirts,8,multicolor,,,,,,,,,
32606,Women Tshirts,8,black,regular,crop,printed,quirky,long sleeves,cuffed sleeves,,,
32607,Women Tshirts,8,yellow,loose,regular,default,default,short sleeves,regular sleeves,,,
32608,Women Tshirts,8,multicolor,,,,,,,,,
32609,Women Tshirts,8,default,,,,,,,,,
32610,Women Tshirts,8,yellow,loose,long,default,default,short sleeves,regular sleeves,,,
32611,Women Tshirts,8,yellow,loose,long,default,default,short sleeves,regular sleeves,,,
32612,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,default,,
32613,Women Tshirts,8,default,,,,,,,,,
32614,Women Tshirts,8,pink,regular,crop,printed,graphic,default,regular sleeves,,,
32615,Women Tshirts,8,yellow,regular,crop,printed,typography,long sleeves,cuffed sleeves,,,
32616,Women Tshirts,8,default,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32617,Women Tshirts,8,default,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32618,Women Tshirts,8,black,boxy,crop,printed,typography,long sleeves,cuffed sleeves,,,
32619,Women Tshirts,8,default,boxy,crop,printed,funky print,short sleeves,cuffed sleeves,,,
32620,Women Tshirts,8,black,boxy,crop,printed,funky print,default,regular sleeves,,,
32621,Women Tshirts,8,default,loose,long,solid,solid,short sleeves,regular sleeves,,,
32622,Women Tshirts,8,default,,,,,,,,,
32623,Women Tshirts,8,black,regular,crop,printed,quirky,default,regular sleeves,,,
32624,Women Tshirts,8,pink,loose,long,solid,solid,short sleeves,regular sleeves,,,
32625,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,default,,
32626,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,default,,
32627,Women Tshirts,8,black,boxy,crop,printed,graphic,default,regular sleeves,,,
32628,Women Tshirts,8,yellow,loose,regular,default,default,short sleeves,regular sleeves,,,
32629,Women Tshirts,8,pink,,crop,solid,solid,long sleeves,regular sleeves,,,
32630,Women Tshirts,8,pink,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32631,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,regular sleeves,,,
32632,Women Tshirts,8,multicolor,regular,long,default,default,short sleeves,regular sleeves,,,
32633,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,default,,
32634,Women Tshirts,8,default,loose,long,printed,typography,default,regular sleeves,,,
32635,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,,,
32636,Women Tshirts,8,multicolor,,,,,,,,,
32637,Women Tshirts,8,default,regular,regular,solid,solid,long sleeves,regular sleeves,,,
32638,Women Tshirts,8,maroon,regular,regular,solid,solid,long sleeves,regular sleeves,,,
32639,Women Tshirts,8,pink,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32640,Women Tshirts,8,default,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32641,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,default,,
32642,Women Tshirts,8,default,boxy,crop,printed,graphic,long sleeves,cuffed sleeves,,,
32643,Women Tshirts,8,yellow,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32644,Women Tshirts,8,maroon,,,,,,,,,
32645,Women Tshirts,8,black,regular,long,solid,solid,short sleeves,regular sleeves,,,
32646,Women Tshirts,8,pink,boxy,crop,printed,graphic,long sleeves,cuffed sleeves,,,
32647,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32648,Women Tshirts,8,yellow,regular,regular,default,default,short sleeves,regular sleeves,,,
32649,Women Tshirts,8,default,regular,long,default,default,short sleeves,regular sleeves,,,
32650,Women Tshirts,8,black,loose,regular,printed,graphic,short sleeves,regular sleeves,,,
32651,Women Tshirts,8,black,loose,long,printed,graphic,short sleeves,regular sleeves,,,
32652,Women Tshirts,8,black,loose,long,printed,graphic,short sleeves,regular sleeves,,,
32653,Women Tshirts,8,yellow,regular,regular,default,default,short sleeves,regular sleeves,,,
32654,Women Tshirts,8,yellow,loose,regular,default,default,short sleeves,regular sleeves,,,
32655,Women Tshirts,8,default,loose,long,default,default,short sleeves,regular sleeves,,,
32656,Women Tshirts,8,black,regular,crop,printed,graphic,default,regular sleeves,,,
32657,Women Tshirts,8,default,regular,crop,printed,graphic,default,regular sleeves,,,
32658,Women Tshirts,8,black,,,,,,,,,
32659,Women Tshirts,8,default,regular,crop,solid,solid,long sleeves,cuffed sleeves,default,,
32660,Women Tshirts,8,yellow,loose,regular,default,default,short sleeves,regular sleeves,,,
32661,Women Tshirts,8,yellow,loose,regular,default,default,short sleeves,regular sleeves,,,
32662,Women Tshirts,8,black,loose,long,printed,graphic,short sleeves,regular sleeves,,,
32663,Women Tshirts,8,black,loose,long,printed,graphic,short sleeves,regular sleeves,,,
32664,Women Tshirts,8,yellow,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32665,Women Tshirts,8,default,regular,long,default,default,short sleeves,regular sleeves,,,
32666,Women Tshirts,8,yellow,boxy,crop,printed,graphic,default,regular sleeves,,,
32667,Women Tshirts,8,default,boxy,crop,printed,graphic,long sleeves,cuffed sleeves,,,
32668,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,default,,
32669,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,default,,
32670,Women Tshirts,8,black,loose,long,printed,graphic,short sleeves,regular sleeves,,,
32671,Women Tshirts,8,default,regular,crop,printed,funky print,default,regular sleeves,,,
32672,Women Tshirts,8,maroon,,,,,,,,,
32673,Women Tshirts,8,default,,,,,,,,,
32674,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32675,Women Tshirts,8,black,loose,long,printed,graphic,short sleeves,regular sleeves,,,
32676,Women Tshirts,8,maroon,regular,regular,default,default,long sleeves,cuffed sleeves,,,
32677,Women Tshirts,8,black,regular,regular,default,default,long sleeves,cuffed sleeves,,,
32678,Women Tshirts,8,black,loose,long,printed,graphic,short sleeves,regular sleeves,,,
32679,Women Tshirts,8,pink,,,,,,,,,
32680,Women Tshirts,8,yellow,boxy,crop,printed,graphic,long sleeves,cuffed sleeves,,,
32681,Women Tshirts,8,black,regular,long,default,default,short sleeves,regular sleeves,,,
32682,Women Tshirts,8,black,loose,long,printed,graphic,short sleeves,regular sleeves,,,
32683,Women Tshirts,8,default,boxy,regular,solid,solid,long sleeves,cuffed sleeves,,,
32684,Women Tshirts,8,default,regular,crop,printed,funky print,default,regular sleeves,,,
32685,Women Tshirts,8,default,regular,regular,solid,solid,long sleeves,cuffed sleeves,default,,
32686,Women Tshirts,8,yellow,loose,long,solid,solid,short sleeves,regular sleeves,,,
32687,Women Tshirts,8,default,,,,,,,,,
32688,Women Tshirts,8,yellow,loose,long,printed,funky print,short sleeves,regular sleeves,,,
32689,Women Tshirts,8,maroon,,,,,,,,,
32690,Women Tshirts,8,default,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32691,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,default,,
32692,Women Tshirts,8,pink,regular,crop,printed,funky print,default,regular sleeves,default,,
32693,Women Tshirts,8,pink,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32694,Women Tshirts,8,black,regular,crop,printed,quirky,long sleeves,cuffed sleeves,,,
32695,Women Tshirts,8,black,regular,regular,default,default,short sleeves,regular sleeves,,,
32696,Women Tshirts,8,default,regular,long,default,default,short sleeves,regular sleeves,,,
32697,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,,,
32698,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,,,
32699,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,,,
32700,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,default,,
32701,Women Tshirts,8,yellow,regular,crop,printed,graphic,default,regular sleeves,default,,
32702,Women Tshirts,8,pink,loose,long,solid,solid,short sleeves,regular sleeves,,,
32703,Women Tshirts,8,black,regular,crop,printed,funky print,default,regular sleeves,,,
32704,Women Tshirts,8,multicolor,regular,long,default,default,short sleeves,regular sleeves,,,
32705,Women Tshirts,8,black,boxy,crop,printed,quirky,long sleeves,cuffed sleeves,,,
32706,Women Tshirts,8,default,regular,crop,printed,funky print,default,regular sleeves,,,
32707,Women Tshirts,8,default,regular,regular,solid,solid,short sleeves,regular sleeves,,,
32708,Women Tshirts,8,default,regular,long,default,default,short sleeves,regular sleeves,,,
32709,Women Tshirts,8,multicolor,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32710,Women Tshirts,8,black,,,,,,,,,
32711,Women Tshirts,8,default,regular,crop,printed,funky print,default,regular sleeves,,,
32712,Women Tshirts,8,default,loose,long,printed,graphic,default,regular sleeves,,,
32713,Women Tshirts,8,black,regular,crop,printed,quirky,default,regular sleeves,,,
32714,Women Tshirts,8,black,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32715,Women Tshirts,8,default,loose,long,printed,typography,short sleeves,regular sleeves,,,
32716,Women Tshirts,8,black,,,,,,,,,
32717,Women Tshirts,8,yellow,regular,crop,printed,funky print,default,regular sleeves,default,,
32718,Women Tshirts,8,yellow,regular,long,default,default,short sleeves,regular sleeves,,,
32719,Women Tshirts,8,default,,,,,,,,,
32720,Women Tshirts,8,default,regular,regular,solid,solid,long sleeves,cuffed sleeves,,,
32721,Women Tshirts,8,black,regular,crop,printed,funky print,default,regular sleeves,,,
32722,Women Tshirts,8,multicolor,regular,regular,default,default,short sleeves,regular sleeves,,,
32723,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,default,,
32724,Women Tshirts,8,yellow,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32725,Women Tshirts,8,yellow,regular,crop,printed,quirky,long sleeves,cuffed sleeves,default,,
32726,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,default,,
32727,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,default,,
32728,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,default,,
32729,Women Tshirts,8,black,regular,crop,printed,graphic,long sleeves,cuffed sleeves,,,
32730,Women Tshirts,8,maroon,,,,,,,,,
32731,Women Tshirts,8,default,regular,regular,solid,solid,long sleeves,cuffed sleeves,,,
32732,Women Tshirts,8,black,regular,regular,solid,solid,long sleeves,cuffed sleeves,,,
32733,Women Tshirts,8,default,regular,regular,solid,solid,long sleeves,cuffed sleeves,,,
32734,Women Tshirts,8,pink,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32735,Women Tshirts,8,maroon,boxy,regular,solid,solid,long sleeves,cuffed sleeves,,,
32736,Women Tshirts,8,default,boxy,regular,solid,solid,long sleeves,cuffed sleeves,,,
32737,Women Tshirts,8,yellow,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32738,Women Tshirts,8,black,boxy,crop,printed,quirky,long sleeves,cuffed sleeves,,,
32739,Women Tshirts,8,yellow,boxy,crop,printed,graphic,default,regular sleeves,,,
32740,Women Tshirts,8,yellow,regular,crop,printed,graphic,default,regular sleeves,,,
32741,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,,,
32742,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,,,
32743,Women Tshirts,8,default,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32744,Women Tshirts,8,multicolor,regular,long,default,default,short sleeves,regular sleeves,,,
32745,Women Tshirts,8,default,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32746,Women Tshirts,8,multicolor,regular,long,default,default,short sleeves,regular sleeves,,,
32747,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,,,
32748,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,,,
32749,Women Tshirts,8,black,,,,,,,,,
32750,Women Tshirts,8,multicolor,regular,long,default,default,short sleeves,regular sleeves,,,
32751,Women Tshirts,8,maroon,regular,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32752,Women Tshirts,8,pink,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32753,Women Tshirts,8,yellow,loose,regular,default,default,short sleeves,regular sleeves,,,
32754,Women Tshirts,8,default,regular,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32755,Women Tshirts,8,yellow,regular,regular,default,default,short sleeves,regular sleeves,,,
32756,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,,,
