id,Category,len,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10
51375,Women Tops & Tunics,10,black,regular,crop,round neck,casual,default,default,short sleeves,regular sleeves,knitted
51376,Women Tops & Tunics,10,navy blue,fitted,crop,high,casual,default,solid,short sleeves,default,knitted
51377,Women Tops & Tunics,10,red,,,,,,,,,
51378,Women Tops & Tunics,10,default,,,,,,,,,
51379,Women Tops & Tunics,10,default,,,,,,,,,
51380,Women Tops & Tunics,10,black,regular,crop,round neck,casual,printed,quirky,short sleeves,regular sleeves,waist tie-ups
51381,Women Tops & Tunics,10,maroon,regular,regular,square neck,casual,solid,solid,short sleeves,puff sleeves,default
51382,Women Tops & Tunics,10,white,fitted,regular,sweetheart neck,casual,solid,solid,short sleeves,puff sleeves,ruffles
51383,Women Tops & Tunics,10,red,fitted,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,knitted
51384,Women Tops & Tunics,10,green,boxy,crop,round neck,casual,printed,typography,long sleeves,regular sleeves,default
51385,Women Tops & Tunics,10,blue,,,,,,,,,
51386,Women Tops & Tunics,10,pink,,,,,,,,,
51387,Women Tops & Tunics,10,default,fitted,regular,square neck,casual,solid,solid,short sleeves,puff sleeves,knitted
51388,Women Tops & Tunics,10,pink,fitted,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,knitted
51389,Women Tops & Tunics,10,black,boxy,crop,round neck,casual,printed,typography,long sleeves,regular sleeves,default
51390,Women Tops & Tunics,10,pink,fitted,crop,default,casual,solid,solid,long sleeves,regular sleeves,knitted
51391,Women Tops & Tunics,10,black,regular,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,
51392,Women Tops & Tunics,10,yellow,regular,regular,v-neck,casual,solid,solid,short sleeves,puff sleeves,knitted
51393,Women Tops & Tunics,10,red,fitted,crop,high,casual,solid,solid,short sleeves,regular sleeves,knitted
51394,Women Tops & Tunics,10,,fitted,regular,default,casual,solid,solid,long sleeves,regular sleeves,knitted
51395,Women Tops & Tunics,10,blue,fitted,crop,square neck,casual,solid,solid,short sleeves,regular sleeves,knitted
51396,Women Tops & Tunics,10,blue,default,regular,high,casual,solid,solid,short sleeves,default,applique
51397,Women Tops & Tunics,10,,regular,regular,round neck,casual,solid,solid,short sleeves,puff sleeves,knitted
51398,Women Tops & Tunics,10,navy blue,regular,regular,v-neck,casual,solid,solid,short sleeves,default,knitted
51399,Women Tops & Tunics,10,default,regular,regular,v-neck,casual,solid,solid,short sleeves,default,knitted
