id,Category,color,pattern,print_or_pattern_type
25994,Kurtis,grey,default,default
26388,Kurtis,grey,default,default
26440,Kurtis,grey,solid,solid
27277,Kurtis,grey,solid,solid
27323,Kurtis,grey,default,default
27354,Kurtis,grey,default,default
27374,Kurtis,grey,default,default
28299,Kurtis,grey,solid,solid
7561,Sarees,multicolor,default,floral
7920,Sarees,white,zari woven,default
8054,Sarees,green,zari woven,botanical
8199,Sarees,green,printed,peacock
9387,Sarees,multicolor,zari woven,default
9941,Sarees,white,zari woven,default
9971,Sarees,multicolor,default,default
10381,Sarees,default,zari woven,default
10525,Sarees,default,zari woven,default
10575,Sarees,navy blue,zari woven,peacock
11171,Sarees,multicolor,woven design,default
11688,Sarees,default,zari woven,default
12000,Sarees,default,zari woven,default
12549,Sarees,default,zari woven,default
12832,Sarees,default,zari woven,default
13113,Sarees,default,zari woven,floral
51378,Women Tops & Tunics,default,solid,solid
51393,Women Tops & Tunics,red,solid,solid
51631,Women Tops & Tunics,blue,solid,solid
51811,Women Tops & Tunics,green,solid,solid
51904,Women Tops & Tunics,navy blue,solid,solid
52096,Women Tops & Tunics,green,solid,solid
52647,Women Tops & Tunics,pink,solid,solid
52673,Women Tops & Tunics,blue,solid,solid
52995,Women Tops & Tunics,red,solid,solid
53025,Women Tops & Tunics,green,solid,solid
53288,Women Tops & Tunics,blue,solid,solid
53559,Women Tops & Tunics,red,solid,solid
53901,Women Tops & Tunics,pink,solid,solid
54179,Women Tops & Tunics,green,solid,solid
54407,Women Tops & Tunics,white,solid,solid
54810,Women Tops & Tunics,pink,printed,floral
55387,Women Tops & Tunics,white,solid,solid
55604,Women Tops & Tunics,black,solid,solid
55722,Women Tops & Tunics,pink,solid,solid
55932,Women Tops & Tunics,black,default,solid
55979,Women Tops & Tunics,pink,solid,solid
56972,Women Tops & Tunics,yellow,solid,solid
57173,Women Tops & Tunics,maroon,solid,solid
57278,Women Tops & Tunics,black,solid,solid
57632,Women Tops & Tunics,default,solid,solid
57913,Women Tops & Tunics,yellow,solid,solid
58405,Women Tops & Tunics,pink,solid,solid
59118,Women Tops & Tunics,default,solid,solid
59356,Women Tops & Tunics,white,solid,solid
59530,Women Tops & Tunics,black,solid,solid
59718,Women Tops & Tunics,green,solid,solid
59726,Women Tops & Tunics,default,solid,solid
60373,Women Tops & Tunics,white,solid,solid
60717,Women Tops & Tunics,default,solid,solid
61163,Women Tops & Tunics,default,solid,solid
61250,Women Tops & Tunics,maroon,solid,solid
61525,Women Tops & Tunics,white,solid,solid
61946,Women Tops & Tunics,navy blue,solid,solid
62039,Women Tops & Tunics,white,solid,solid
62164,Women Tops & Tunics,maroon,solid,solid
62935,Women Tops & Tunics,red,solid,solid
62993,Women Tops & Tunics,blue,solid,solid
63222,Women Tops & Tunics,white,solid,solid
63259,Women Tops & Tunics,blue,solid,solid
63841,Women Tops & Tunics,black,solid,solid
64352,Women Tops & Tunics,yellow,solid,solid
64498,Women Tops & Tunics,default,solid,solid
64979,Women Tops & Tunics,maroon,solid,solid
65103,Women Tops & Tunics,maroon,solid,solid
67106,Women Tops & Tunics,maroon,solid,solid
67158,Women Tops & Tunics,blue,solid,solid
67360,Women Tops & Tunics,default,solid,solid
67369,Women Tops & Tunics,default,solid,solid
67659,Women Tops & Tunics,blue,solid,solid
67669,Women Tops & Tunics,default,default,solid
68990,Women Tops & Tunics,white,solid,solid
69784,Women Tops & Tunics,navy blue,solid,solid
70005,Women Tops & Tunics,black,solid,solid
13140,Sarees,multicolor,default,default
14196,Sarees,default,zari woven,default
7550,Sarees,green,printed,peacock
7737,Sarees,green,zari woven,ethnic motif
7870,Sarees,green,woven design,default
8054,Sarees,green,zari woven,botanical
8164,Sarees,green,printed,peacock
8199,Sarees,green,printed,peacock
8237,Sarees,green,printed,peacock
8810,Sarees,green,zari woven,solid
9377,Sarees,green,zari woven,ethnic motif
9910,Sarees,green,zari woven,ethnic motif
10305,Sarees,green,solid,solid
10391,Sarees,green,default,default
10738,Sarees,green,printed,peacock
11025,Sarees,green,default,botanical
11544,Sarees,green,zari woven,ethnic motif
