id,Category,fit_shape,length,sleeve_length,sleeve_styling
25994,Kurtis,a-line,calf length,three-quarter sleeves,regular
26388,Kurtis,straight,knee length,three-quarter sleeves,regular
26440,Kurtis,a-line,calf length,three-quarter sleeves,regular
27277,Kurtis,a-line,calf length,three-quarter sleeves,regular
27323,Kurtis,a-line,knee length,three-quarter sleeves,regular
27354,Kurtis,a-line,calf length,three-quarter sleeves,regular
27374,Kurtis,straight,calf length,three-quarter sleeves,regular
28299,Kurtis,a-line,calf length,three-quarter sleeves,regular
51378,Women Tops & Tunics,fitted,crop,short sleeves,regular sleeves
51393,Women Tops & Tunics,fitted,crop,short sleeves,regular sleeves
51631,Women Tops & Tunics,fitted,regular,short sleeves,regular sleeves
51811,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
51904,Women Tops & Tunics,regular,regular,short sleeves,default
52096,Women Tops & Tunics,fitted,crop,short sleeves,regular sleeves
52647,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
52673,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
52995,Women Tops & Tunics,fitted,crop,short sleeves,regular sleeves
53025,Women Tops & Tunics,regular,crop,short sleeves,regular sleeves
53288,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
53559,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
53901,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
54179,Women Tops & Tunics,regular,regular,short sleeves,regular sleeves
54407,Women Tops & Tunics,fitted,regular,short sleeves,regular sleeves
54810,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
55387,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
55604,Women Tops & Tunics,regular,crop,long sleeves,regular sleeves
55722,Women Tops & Tunics,regular,regular,short sleeves,default
55932,Women Tops & Tunics,regular,crop,long sleeves,regular sleeves
55979,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
56972,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
57173,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
57278,Women Tops & Tunics,regular,crop,long sleeves,regular sleeves
57632,Women Tops & Tunics,regular,crop,short sleeves,regular sleeves
57913,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
58405,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
59118,Women Tops & Tunics,fitted,crop,short sleeves,regular sleeves
59356,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
59530,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
59718,Women Tops & Tunics,fitted,regular,short sleeves,sleeveless
59726,Women Tops & Tunics,regular,regular,short sleeves,regular sleeves
60373,Women Tops & Tunics,fitted,crop,short sleeves,regular sleeves
60717,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
61163,Women Tops & Tunics,regular,regular,short sleeves,sleeveless
61250,Women Tops & Tunics,regular,crop,short sleeves,regular sleeves
61525,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
61946,Women Tops & Tunics,regular,crop,short sleeves,regular sleeves
62039,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
62164,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
62935,Women Tops & Tunics,regular,regular,short sleeves,default
62993,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
63222,Women Tops & Tunics,regular,regular,three-quarter sleeves,regular sleeves
63259,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
63841,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
64352,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
64498,Women Tops & Tunics,fitted,regular,short sleeves,regular sleeves
64979,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
65103,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
67106,Women Tops & Tunics,regular,regular,short sleeves,regular sleeves
67158,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
67360,Women Tops & Tunics,regular,regular,short sleeves,regular sleeves
67369,Women Tops & Tunics,regular,crop,short sleeves,regular sleeves
67659,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
67669,Women Tops & Tunics,regular,crop,long sleeves,regular sleeves
68990,Women Tops & Tunics,regular,regular,short sleeves,default
69784,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
70005,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
51382,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
51475,Women Tops & Tunics,fitted,crop,long sleeves,regular sleeves
51583,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
51641,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
51664,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
51733,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
51768,Women Tops & Tunics,fitted,regular,long sleeves,puff sleeves
51777,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
51977,Women Tops & Tunics,regular,regular,three-quarter sleeves,default
52236,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
52310,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
52335,Women Tops & Tunics,regular,crop,short sleeves,puff sleeves
52426,Women Tops & Tunics,fitted,crop,long sleeves,regular sleeves
52535,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
52560,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
52786,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
52827,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
52890,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
52972,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
53147,Women Tops & Tunics,regular,regular,short sleeves,default
53276,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
53295,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
53343,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
53601,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
53603,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
53628,Women Tops & Tunics,fitted,regular,short sleeves,regular sleeves
53648,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
53727,Women Tops & Tunics,fitted,crop,long sleeves,regular sleeves
53793,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
53830,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
53962,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
53968,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
54026,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
54203,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
54251,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
54596,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
54886,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
54921,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
54943,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
54981,Women Tops & Tunics,fitted,crop,long sleeves,regular sleeves
55003,Women Tops & Tunics,fitted,regular,long sleeves,puff sleeves
55202,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
55261,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
55300,Women Tops & Tunics,regular,regular,short sleeves,default
55371,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
55524,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
55654,Women Tops & Tunics,fitted,crop,long sleeves,regular sleeves
55706,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
55739,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
55774,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
55776,Women Tops & Tunics,fitted,crop,long sleeves,regular sleeves
55826,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
55922,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
55962,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
56065,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
56121,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
56326,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
56441,Women Tops & Tunics,fitted,regular,long sleeves,puff sleeves
56618,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
56727,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
57383,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
57539,Women Tops & Tunics,regular,regular,short sleeves,regular sleeves
57540,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
57604,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
57608,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
57741,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
57955,Women Tops & Tunics,fitted,crop,long sleeves,regular sleeves
58013,Women Tops & Tunics,fitted,crop,three-quarter sleeves,regular sleeves
58248,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
58279,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
58346,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
58414,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
58441,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
58505,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
58579,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
58638,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
58702,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
58705,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
58761,Women Tops & Tunics,fitted,regular,short sleeves,regular sleeves
58788,Women Tops & Tunics,fitted,crop,long sleeves,regular sleeves
58794,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
58870,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
58923,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
59029,Women Tops & Tunics,fitted,crop,short sleeves,puff sleeves
59064,Women Tops & Tunics,fitted,regular,short sleeves,regular sleeves
59082,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
59232,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
59424,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
59519,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
59639,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
59660,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
59812,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
59971,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
60218,Women Tops & Tunics,fitted,crop,long sleeves,puff sleeves
60240,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
60528,Women Tops & Tunics,fitted,regular,short sleeves,regular sleeves
60699,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
60811,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
60812,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
60865,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
61038,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
61134,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
61177,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
61191,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
61284,Women Tops & Tunics,fitted,crop,long sleeves,regular sleeves
61488,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
61502,Women Tops & Tunics,fitted,crop,long sleeves,regular sleeves
61547,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
61617,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
61991,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
62023,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
62231,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
62290,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
62294,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
62539,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
62965,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
63016,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
63031,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
63041,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
63073,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
63133,Women Tops & Tunics,fitted,crop,long sleeves,puff sleeves
63177,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
63318,Women Tops & Tunics,fitted,crop,long sleeves,regular sleeves
63404,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
63433,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
63505,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
63546,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
63598,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
63613,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
63667,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
63686,Women Tops & Tunics,fitted,crop,long sleeves,regular sleeves
63698,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
63789,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
63796,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
63811,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
63831,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
63842,Women Tops & Tunics,fitted,crop,long sleeves,regular sleeves
63876,Women Tops & Tunics,regular,regular,long sleeves,default
63983,Women Tops & Tunics,fitted,crop,long sleeves,regular sleeves
64007,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
64017,Women Tops & Tunics,fitted,crop,long sleeves,regular sleeves
64276,Women Tops & Tunics,fitted,crop,long sleeves,regular sleeves
64371,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
64488,Women Tops & Tunics,fitted,regular,short sleeves,regular sleeves
64529,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
64575,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
64645,Women Tops & Tunics,fitted,crop,long sleeves,regular sleeves
64700,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
64724,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
65006,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
65019,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
65119,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
65156,Women Tops & Tunics,fitted,regular,short sleeves,regular sleeves
65323,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
65377,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
65475,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
65482,Women Tops & Tunics,fitted,regular,short sleeves,regular sleeves
65600,Women Tops & Tunics,fitted,crop,long sleeves,regular sleeves
65635,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
65639,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
65766,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
65800,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
65848,Women Tops & Tunics,fitted,crop,long sleeves,regular sleeves
65878,Women Tops & Tunics,fitted,crop,short sleeves,puff sleeves
66080,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
66451,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
66540,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
66731,Women Tops & Tunics,fitted,regular,three-quarter sleeves,regular sleeves
66732,Women Tops & Tunics,fitted,crop,long sleeves,regular sleeves
66739,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
66777,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
66996,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
67051,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
67218,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
67373,Women Tops & Tunics,fitted,regular,short sleeves,regular sleeves
67410,Women Tops & Tunics,fitted,crop,long sleeves,puff sleeves
67427,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
67497,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
67667,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
67842,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
67868,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
67901,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
67923,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
68026,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
68035,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
68276,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
68338,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
68411,Women Tops & Tunics,fitted,regular,short sleeves,default
68420,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
68545,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
68590,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
68618,Women Tops & Tunics,fitted,crop,long sleeves,regular sleeves
68652,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
68689,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
68817,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
68826,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
69213,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
69414,Women Tops & Tunics,regular,crop,short sleeves,default
69494,Women Tops & Tunics,fitted,regular,short sleeves,regular sleeves
69623,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
69781,Women Tops & Tunics,fitted,regular,short sleeves,regular sleeves
69833,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
69918,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
69956,Women Tops & Tunics,regular,regular,short sleeves,puff sleeves
70045,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
70047,Women Tops & Tunics,fitted,crop,long sleeves,puff sleeves
70139,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
70196,Women Tops & Tunics,fitted,crop,long sleeves,regular sleeves
70214,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
70215,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
70229,Women Tops & Tunics,fitted,regular,short sleeves,puff sleeves
70317,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
70332,Women Tops & Tunics,fitted,regular,long sleeves,regular sleeves
51580,Women Tops & Tunics,fitted,crop,short sleeves,regular sleeves
51610,Women Tops & Tunics,regular,regular,three-quarter sleeves,default
